setup_ns,run_ns,peak_mem
149,966729,0
105,682256,0
264,628918,0
272,564487,0
199,659813,0
63,625030,0
157,627324,0
149,613710,0
125,605163,0
311,617251,0
88,603043,0
238,585075,0
85,637342,0
88,613768,0
151,647539,0
123,632007,0
761,625850,0
96,627599,0
228,611765,0
156,625722,0
324,626761,0
102,596271,0
281,633467,0
173,588668,0
170,605867,0
82,624040,0
239,609029,0
131,587193,0
178,603505,0
115,622256,0
119,627149,0
234,614220,0
136,619483,0
290,619837,0
119,584044,0
343,618218,0
206,632365,0
64,641730,0
99,616688,0
88,644629,0
162,619730,0
182,631515,0
120,629352,0
60,628417,0
238,605742,0
169,617812,0
133,601739,0
353,626861,0
686,613774,0
202,602849,0
174,626536,0
132,579948,0
315,593447,0
198,617971,0
271,601929,0
130,620119,0
104,621837,0
269,604091,0
180,630521,0
275,593320,0
171,624213,0
106,633243,0
120,618939,0
98,621403,0
244,622519,0
180,635556,0
107,606453,0
150,591377,0
167,615444,0
124,557113,0
70,611160,0
145,614492,0
60,616446,0
136,643218,0
219,601653,0
405,628023,0
269,601839,0
132,597301,0
176,610739,0
155,555701,0
147,592155,0
212,615488,0
160,618483,0
202,615872,0
303,617211,0
246,623777,0
201,627772,0
248,618708,0
287,616414,0
268,615910,0
97,576728,0
305,610200,0
132,612533,0
69,607347,0
178,601908,0
207,626965,0
124,604837,0
99,619350,0
132,602759,0
113,614133,0
74,605883,0
252,607831,0
153,582590,0
118,596874,0
226,588440,0
304,554464,0
492,630471,0
221,625096,0
126,616540,0
227,612126,0
307,613940,0
129,621643,0
141,581565,0
314,590000,0
351,644508,0
156,644408,0
