setup_ns,run_ns,peak_mem
202,969941,0
142,667940,0
159,663845,0
168,662995,0
182,679108,0
197,669451,0
181,680962,0
252,675776,0
175,731395,0
266,650368,0
186,659514,0
211,737315,0
146,666195,0
377,692923,0
147,690203,0
85,663948,0
122,657536,0
159,685995,0
244,675037,0
94,679305,0
187,655815,0
156,713869,0
155,657969,0
215,659316,0
190,635181,0
87,699874,0
200,642923,0
247,671706,0
185,654617,0
260,689182,0
150,644850,0
139,666773,0
180,729020,0
324,644275,0
298,653399,0
247,695747,0
251,639119,0
121,667845,0
153,708556,0
103,577773,0
233,683336,0
150,694828,0
134,689373,0
157,597876,0
241,676200,0
357,659971,0
483,645597,0
207,679229,0
88,676943,0
122,639196,0
149,682147,0
195,691835,0
185,661606,0
114,675059,0
173,711307,0
266,672549,0
246,628609,0
99,634720,0
145,661554,0
179,697210,0
148,593108,0
272,613405,0
145,692119,0
174,683028,0
316,618306,0
303,615276,0
164,665113,0
740,678195,0
97,682583,0
172,647579,0
140,684969,0
228,695531,0
186,654822,0
285,679216,0
203,648819,0
310,654865,0
180,683218,0
137,657608,0
121,645180,0
132,674475,0
69,705180,0
93,692670,0
151,670139,0
288,676643,0
180,668184,0
255,637303,0
125,667588,0
90,657184,0
166,655354,0
189,694460,0
270,685572,0
198,659278,0
1296,617899,0
186,628334,0
88,632180,0
92,635837,0
150,705874,0
369,712077,0
184,679869,0
103,668053,0
283,661604,0
154,630410,0
105,685609,0
265,658038,0
151,671163,0
125,684929,0
147,665361,0
89,634486,0
121,666547,0
334,713002,0
