setup_ns,run_ns,peak_mem
54,44126,0
41,45254,0
42,44719,0
42,44321,0
43,44238,0
44,43848,0
42,43721,0
39,43530,0
39,43743,0
46,43735,0
43,44609,0
43,43692,0
41,47459,0
42,43773,0
41,43784,0
42,43554,0
38,44059,0
43,43676,0
41,44152,0
40,43811,0
41,44003,0
43,43473,0
40,44380,0
44,43665,0
44,43684,0
42,43709,0
40,43502,0
38,43471,0
40,44201,0
43,43575,0
43,43841,0
41,43573,0
40,43488,0
37,44283,0
44,48305,0
41,44042,0
40,43590,0
43,43599,0
40,43695,0
43,43464,0
39,43581,0
40,43458,0
40,43386,0
39,43455,0
39,43635,0
40,43432,0
43,43599,0
44,43581,0
41,43324,0
41,43612,0
41,43428,0
43,43698,0
42,43602,0
40,43275,0
46,43610,0
39,46745,0
44,43710,0
47,43710,0
41,43396,0
44,43430,0
41,43488,0
46,43901,0
43,43790,0
46,43599,0
43,43435,0
40,43697,0
39,43485,0
41,43792,0
43,44747,0
43,43538,0
40,43535,0
47,43526,0
42,43479,0
43,43535,0
41,43449,0
42,43391,0
42,46275,0
41,43704,0
40,43427,0
50,43518,0
39,43385,0
40,43597,0
40,43493,0
46,43633,0
45,43474,0
44,43213,0
41,43549,0
40,43231,0
43,43230,0
41,43210,0
40,43305,0
42,43216,0
41,43205,0
40,43576,0
