setup_ns,run_ns,peak_mem
13476,13230160,1245184
13636,13289884,1245184
13646,13091977,1245184
13676,12968843,1245184
13325,13244998,1245184
13446,12990394,1245184
13927,13080946,1245184
13576,13268663,1245184
13346,13181807,1245184
13476,13111193,1245184
13556,13047422,1245184
13325,13123566,1245184
13275,13166138,1245184
13897,13215161,1245184
14608,13087178,1245184
13295,13169555,1245184
13355,13176799,1245184
14607,13178551,1245184
13526,13276037,1245184
13475,13115171,1245184
13476,13126432,1245184
14398,13214199,1245184
13536,13093609,1245184
15650,13163312,1245184
14467,13085124,1245184
13235,12803208,1245184
13526,13282860,1245184
13325,13171298,1245184
13525,13099341,1245184
15830,13260537,1245184
15279,13371498,1245184
13446,13308458,1245184
13425,13063252,1245184
13726,13208158,1245184
13376,13044887,1245184
13626,13058383,1245184
14698,13229458,1245184
14297,13122585,1245184
13265,13114871,1245184
13506,13311885,1245184
13245,13007647,1245184
13475,13121924,1245184
16111,12870115,1245184
13866,12125449,1245184
13326,11994399,1245184
12323,11780914,1245184
18415,11876035,1245184
12224,11691613,1245184
11872,11770354,1245184
12123,11641999,1245184
11773,11506482,1245184
12294,11586654,1245184
11863,11794339,1245184
13196,11850265,1245184
11742,11600951,1245184
11622,11623815,1245184
12494,11442951,1245184
11672,11675524,1245184
11692,11375322,1245184
15710,11199228,1245184
13145,11362548,1245184
29866,11375763,1245184
18736,11203205,1245184
11692,11451257,1245184
12213,11517312,1245184
11532,11392866,1245184
11762,11357599,1245184
11532,11307904,1245184
11472,11348030,1245184
12243,11302003,1245184
13265,11479170,1245184
11722,11403336,1245184
15880,11407503,1245184
11772,11581565,1245184
11461,11397324,1245184
11703,11353050,1245184
11562,11458690,1245184
11372,11301602,1245184
11542,11487446,1245184
13446,11632261,1245184
14978,12026140,1245184
12394,11955095,1245184
12303,11749163,1245184
12293,11790522,1245184
13346,11818765,1245184
12553,11912344,1245184
12313,11965595,1245184
14167,12071386,1245184
12273,11896944,1245184
12033,11965444,1245184
12143,11945577,1245184
11853,11712573,1245184
12804,11737762,1245184
12063,11645196,1245184
11923,11720469,1245184
11782,11621281,1245184
12935,11461857,1245184
11813,11693417,1245184
