setup_ns,run_ns,peak_mem
14458,13113738,1245184
14297,12918637,1245184
13576,13174644,1245184
14106,12984713,1245184
13495,13143444,1245184
18816,13213998,1245184
14978,13227946,1245184
13987,13286015,1245184
13526,13391376,1245184
14648,13052281,1245184
13556,13068321,1245184
13736,13140349,1245184
14407,13092999,1245184
13957,13209470,1245184
13726,13144767,1245184
15029,13075705,1245184
13927,12959174,1245184
15088,13237724,1245184
15078,13080235,1245184
14377,13291496,1245184
13445,13061258,1245184
14538,13048855,1245184
14668,13074333,1245184
13546,13046640,1245184
18806,13180715,1245184
14278,13196675,1245184
13546,13181767,1245184
17955,13274413,1245184
14808,13376778,1245184
13556,13001705,1245184
15740,12221221,1245184
12654,11943683,1245184
11932,11843873,1245184
11853,11267387,1245184
12233,11594860,1245184
11682,11314847,1245184
11913,11493917,1245184
12093,11430687,1245184
11612,11583058,1245184
12143,11548181,1245184
11973,11437440,1245184
14688,11563510,1245184
12724,11283437,1245184
11692,11631269,1245184
12413,11285491,1245184
11753,11536719,1245184
11743,11289849,1245184
13215,11366195,1245184
12093,11372206,1245184
12183,11439063,1245184
12374,11132079,1245184
12023,11332010,1245184
11632,11538603,1245184
11622,11425308,1245184
11743,11367056,1245184
12113,11308004,1245184
12023,11535085,1245184
12403,11512483,1245184
12854,11541077,1245184
11712,11554032,1245184
11692,12051227,1245184
15499,12080082,1245184
14888,11928434,1245184
12384,11919978,1245184
12223,11816661,1245184
16081,11900340,1245184
12895,11939294,1245184
12173,11855555,1245184
12584,11768499,1245184
11953,11693898,1245184
11993,11570162,1245184
13055,11707073,1245184
12203,11778018,1245184
13736,11626229,1245184
11822,11807614,1245184
12914,11402674,1245184
12583,11671856,1245184
11763,11502564,1245184
