setup_ns,run_ns,peak_mem
20,2968295,24576
20,2965960,24576
10,2460820,24576
20,2501898,24576
20,2390065,24576
20,2761983,24576
20,2742937,24576
20,2448437,24576
20,2811366,24576
10,2520634,24576
20,2574596,24576
10,2666912,24576
10,2454327,24576
20,2736534,24576
20,2841544,24576
20,2382842,24576
20,2545972,24576
20,2400616,24576
20,2748827,24576
10,2548085,24576
20,2375508,24576
20,2733809,24576
20,2579276,24576
20,2474266,24576
20,2404132,24576
20,2458546,24576
20,2561041,24576
20,2830043,24576
20,2810024,24576
20,2352043,24576
20,2351823,24576
20,2592631,24576
20,2310374,24576
20,2669577,24576
20,2627668,24576
10,2447174,24576
20,2437555,24576
20,2445551,24576
20,2823800,24576
10,2306106,24576
20,2665669,24576
20,2648808,24576
30,2542025,24576
20,2749699,24576
30,2536494,24576
30,2781911,24576
10,2433828,24576
20,2398000,24576
21,2648687,24576
10,2660069,24576
10,2338838,24576
20,2369216,24576
20,2303331,24576
20,2568876,24576
30,2455900,24576
30,2325212,24576
20,2310945,24576
10,2386619,24576
30,2340461,24576
20,2398591,24576
20,2402569,24576
20,2476429,24576
20,2546243,24576
20,2606597,24576
20,2440942,24576
20,2386539,24576
20,2538447,24576
10,2760901,24576
20,2357804,24576
20,2527246,24576
20,2713991,24576
10,2520203,24576
20,2679355,24576
20,2734802,24576
20,2449008,24576
20,2446823,24576
20,2393522,24576
20,2604353,24576
20,2410374,24576
20,2523710,24576
20,2667042,24576
30,2421144,24576
20,2501848,24576
20,2586569,24576
20,2394043,24576
20,2516596,24576
20,2475588,24576
20,2535803,24576
20,2475658,24576
20,2421996,24576
20,2314872,24576
20,2593191,24576
30,2711967,24576
20,2550491,24576
20,2292650,24576
10,2500445,24576
10,2319751,24576
20,2775949,24576
30,2538918,24576
20,2709793,24576
10,2373874,24576
20,2619361,24576
20,2673294,24576
30,2721205,24576
20,2503421,24576
10,2512939,24576
30,2815815,24576
30,2487090,24576
20,2455920,24576
20,2506527,24576
30,2381990,24576
20,2564347,24576
30,2539589,24576
20,2364697,24576
30,2426495,24576
20,2549398,24576
20,2273183,24576
20,2956352,24576
30,2722788,24576
20,2446483,24576
21,2644739,24576
30,2733178,24576
20,2447275,24576
10,2458095,24576
20,2661121,24576
30,2602700,24576
30,2583072,24576
20,2670018,24576
