setup_ns,run_ns,peak_mem
20,2488773,24576
20,2416325,24576
30,2369626,24576
20,2392700,24576
20,2851573,24576
20,2420904,24576
20,2309302,24576
20,2213349,24576
10,2177922,24576
10,2314221,24576
10,2293582,24576
20,2540151,24576
30,2909974,24576
30,2849980,24576
20,2794755,24576
20,2328619,24576
20,2389344,24576
30,2228278,24576
20,2593483,24576
30,2329771,24576
20,2381048,24576
21,2304913,24576
20,2285566,24576
20,2222867,24576
20,2787191,24576
20,2319451,24576
20,2419962,24576
20,2851042,24576
20,2717779,24576
20,2847876,24576
20,2502570,24576
20,2355149,24576
20,2262273,24576
21,2892521,24576
10,2910475,24576
30,2774426,24576
20,2507008,24576
20,2414021,24576
20,2278173,24576
10,2410835,24576
30,2279065,24576
21,2891689,24576
21,2331133,24576
21,2465849,24576
30,2601858,24576
30,2537786,24576
10,2873755,24576
30,2440922,24576
30,2396959,24576
30,2277862,24576
30,2287471,24576
20,2269737,24576
20,2265198,24576
20,2910285,24576
10,2882522,24576
30,2320363,24576
20,2391348,24576
20,2501588,24576
20,2458846,24576
20,2331203,24576
20,2261340,24576
30,2335271,24576
20,2206627,24576
20,2166059,24576
20,2347705,24576
30,2335692,24576
20,2310404,24576
20,2944019,24576
20,2291127,24576
20,2268785,24576
20,2230491,24576
20,2252063,24576
10,2526815,24576
20,2244529,24576
21,2270147,24576
30,2424250,24576
20,2343316,24576
20,2176579,24576
20,2308290,24576
20,2223779,24576
20,2219772,24576
20,2225543,24576
20,2377601,24576
20,2455510,24576
20,2579054,24576
20,2329540,24576
20,2327816,24576
30,2378133,24576
10,2438418,24576
20,2443757,24576
20,2354638,24576
20,2289985,24576
10,2473944,24576
20,2292680,24576
20,2440431,24576
20,2283653,24576
20,2437705,24576
10,2291478,24576
20,2261762,24576
30,2523990,24576
20,2995406,24576
20,2521877,24576
30,2328078,24576
20,2339189,24576
20,2352424,24576
20,2192820,24576
20,2362973,24576
10,2997771,24576
20,2939410,24576
20,2338498,24576
20,2528850,24576
20,2487290,24576
20,2834350,24576
20,2629090,24576
20,2394053,24576
30,2302128,24576
20,2917409,24576
21,2349688,24576
20,2257012,24576
20,2428889,24576
20,2276720,24576
20,2345470,24576
20,2995878,24576
30,2540832,24576
21,2410844,24576
20,2854218,24576
20,2334409,24576
20,2504103,24576
10,2371370,24576
10,2335531,24576
20,2555841,24576
20,2942627,24576
20,2486709,24576
21,2230201,24576
20,2563485,24576
21,2550300,24576
20,3067674,24576
20,2914723,24576
10,2426385,24576
30,2383703,24576
20,2424401,24576
30,2580899,24576
30,2894455,24576
30,2868024,24576
20,2513229,24576
21,2420563,24576
20,3081952,24576
30,2393672,24576
20,2337806,24576
20,2462634,24576
10,2325863,24576
20,2187330,24576
20,2955411,24576
31,2913831,24576
30,2671852,24576
20,2311456,24576
20,2596848,24576
20,2934641,24576
20,2540131,24576
20,2961702,24576
30,2625252,24576
30,2612749,24576
20,2450630,24576
20,2349458,24576
20,2455800,24576
20,2318309,24576
20,2373254,24576
20,2610806,24576
20,2504393,24576
20,2425493,24576
