setup_ns,run_ns,peak_mem
30,2556302,28672
20,2679195,28672
20,2488953,28672
30,2532536,28672
20,2839611,28672
20,2373544,28672
20,2641433,28672
10,2407629,28672
20,2661762,28672
30,2905907,28672
21,2511596,28672
30,2574997,28672
20,2408541,28672
20,2638147,28672
20,2660831,28672
20,2767012,28672
30,2878825,28672
10,2796528,28672
20,3088073,28672
30,2720334,28672
10,2336624,28672
20,2512648,28672
20,2742696,28672
30,2358846,28672
10,2517127,28672
10,2555861,28672
20,2673093,28672
21,2505665,28672
20,2430362,28672
20,2413420,28672
20,2789666,28672
20,2461982,28672
20,2739200,28672
20,2548287,28672
20,2469627,28672
20,2623429,28672
20,2338828,28672
20,2699684,28672
30,2482442,28672
20,2872523,28672
20,2722989,28672
30,2562724,28672
20,2695556,28672
21,2695676,28672
20,2495215,28672
20,2716345,28672
20,2564116,28672
30,2552845,28672
20,2652575,28672
20,2883083,28672
20,2698362,28672
20,2615093,28672
20,2594324,28672
20,2608561,28672
20,2516586,28672
20,2400284,28672
20,2328729,28672
20,2603241,28672
20,2589886,28672
20,2421435,28672
20,2805606,28672
20,2532546,28672
20,2661492,28672
10,2770138,28672
30,2385527,28672
20,2591158,28672
20,2323799,28672
20,2533258,28672
20,2570179,28672
31,2530201,28672
20,2502369,28672
20,2490035,28672
20,2753747,28672
20,2496428,28672
20,2391508,28672
20,2434369,28672
20,2328118,28672
20,2658686,28672
20,2529932,28672
20,2743658,28672
30,2414712,28672
20,2360269,28672
30,2584776,28672
20,2592260,28672
20,2725644,28672
20,2375668,28672
20,2765640,28672
30,2303521,28672
20,2653977,28672
20,2430452,28672
20,2297569,28672
20,2480257,28672
20,2543037,28672
20,2378243,28672
10,2328759,28672
20,2569767,28672
20,2506747,28672
20,2527336,28672
20,2577222,28672
20,2537726,28672
21,2489083,28672
10,2581720,28672
20,2796489,28672
20,2397129,28672
20,2371640,28672
20,2364767,28672
20,2403782,28672
20,2324601,28672
20,2541564,28672
20,2315654,28672
20,2606447,28672
20,2612298,28672
20,2688433,28672
20,2415684,28672
20,2385968,28672
31,2378463,28672
20,2458836,28672
20,2504002,28672
20,2721807,28672
20,2655971,28672
