setup_ns,run_ns,peak_mem
20,286148468,12832768
10,264793966,12832768
10,273021693,12832768
20,273860829,12832768
20,271229795,12832768
20,281322880,12832768
10,279997269,12832768
20,274385407,12832768
10,273115311,12832768
10,272321362,12832768
20,268330942,12832768
20,267057100,12832768
10,272343343,12832768
20,270691622,12832768
20,265146246,12832768
20,254289638,12832768
20,267629589,12832768
10,262651952,12832768
20,291358446,12832768
20,289019909,12832768
20,272386715,12832768
21,266707795,12832768
20,275562455,12832768
20,264874278,12832768
20,263523480,12832768
20,277958832,12832768
21,275033950,12832768
10,269993885,12832768
20,268113559,12832768
20,279664347,12832768
20,273254185,12832768
20,275344220,12832768
20,280027196,12832768
20,275867405,12832768
20,253717952,12832768
20,261781877,12832768
20,263338789,12832768
20,267828337,12832768
11,270683556,12832768
20,269377652,12832768
20,271899529,12832768
20,278422965,12832768
20,275786982,12832768
20,285293582,12832768
20,282582105,12832768
20,280442236,12832768
20,263897821,12832768
20,273467050,12832768
20,267328496,12832768
20,279587159,12832768
20,274882001,12832768
20,271512734,12832768
20,280903783,12832768
20,265666655,12832768
20,290083621,12832768
20,265494718,12832768
11,272076675,12832768
20,271833233,12832768
10,269877664,12832768
20,265473888,12832768
20,294329436,12832768
20,268592449,12832768
20,265872076,12832768
10,266367678,12832768
20,283111441,12832768
20,269263035,12832768
10,263366260,12832768
20,259422630,12832768
20,280425534,12832768
21,281269618,12832768
20,280901389,12832768
20,269983425,12832768
20,279581328,12832768
20,275186870,12832768
20,275585959,12832768
20,272207454,12832768
20,273017384,12832768
20,263266201,12832768
20,272119586,12832768
20,271819436,12832768
20,268221043,12832768
20,277462659,12832768
20,264021988,12832768
20,264260240,12832768
20,257836143,12832768
20,261013997,12832768
20,258003752,12832768
20,277248301,12832768
20,268602448,12832768
10,271835437,12832768
20,265678828,12832768
10,254613494,12832768
20,278577619,12832768
20,280224090,12832768
20,276222470,12832768
20,270951085,12832768
20,284082688,12832768
20,278472829,12832768
20,271742530,12832768
20,279578933,12832768
20,284102937,12832768
20,281302391,12832768
20,281731567,12832768
20,287416910,12832768
20,279859927,12832768
20,265994018,12832768
20,282840135,12832768
20,289660857,12832768
20,289636872,12832768
20,277641018,12832768
20,282625276,12832768
20,277011240,12832768
20,274780217,12832768
20,272504820,12832768
20,274098400,12832768
10,274599684,12832768
20,260058269,12832768
20,276869140,12832768
10,271200118,12832768
20,272978761,12832768
10,252330953,12832768
20,260049312,12832768
20,258840613,12832768
10,271283146,12832768
10,263542254,12832768
20,262436511,12832768
20,278879714,12832768
20,271499137,12832768
20,267793660,12832768
20,274669376,12832768
20,290172290,12832768
20,265126949,12832768
20,260724346,12832768
10,256852001,12832768
20,258358426,12832768
20,264234891,12832768
20,272152149,12832768
20,257289843,12832768
20,257826815,12832768
20,267167860,12832768
10,261875545,12832768
20,259098554,12832768
20,261617725,12832768
21,271287854,12832768
20,263926495,12832768
20,264435192,12832768
20,264411929,12832768
20,253521877,12832768
20,260052197,12832768
20,264913251,12832768
20,260827051,12832768
20,263554037,12832768
20,265103694,12832768
30,268169795,12832768
20,266807785,12832768
10,273676478,12832768
21,269140751,12832768
20,278187466,12832768
