setup_ns,run_ns,peak_mem
45,202074,4096
32,180756,4096
34,180440,4096
21,187774,4096
31,174284,4096
20,213482,4096
21,184148,4096
22,217533,4096
31,183869,4096
22,204199,4096
22,198001,4096
23,206488,4096
31,172175,4096
29,311023,4096
21,224260,4096
22,300048,4096
23,168974,4096
24,183243,4096
22,181972,4096
22,181699,4096
22,209823,4096
22,180339,4096
22,303589,4096
21,186250,4096
22,180000,4096
21,304789,4096
23,203895,4096
21,174436,4096
22,168845,4096
22,170013,4096
22,178186,4096
23,207759,4096
22,209723,4096
22,170634,4096
21,174298,4096
22,177107,4096
22,204483,4096
22,194376,4096
22,184841,4096
22,187712,4096
21,175966,4096
22,175173,4096
22,183612,4096
22,170327,4096
23,167726,4096
22,215366,4096
22,180586,4096
22,176090,4096
23,184067,4096
22,178329,4096
23,180402,4096
21,175578,4096
23,174410,4096
22,202006,4096
22,190819,4096
23,173677,4096
21,191276,4096
23,188816,4096
24,183632,4096
22,173833,4096
22,213056,4096
22,173074,4096
22,179914,4096
22,201087,4096
22,194291,4096
22,174728,4096
22,169912,4096
23,164940,4096
22,192847,4096
22,170147,4096
21,198480,4096
21,181146,4096
22,172106,4096
20,177641,4096
22,196098,4096
23,167065,4096
22,169152,4096
23,164632,4096
22,182692,4096
22,203919,4096
22,173197,4096
20,314090,4096
22,202703,4096
22,179291,4096
22,190774,4096
23,187828,4096
22,188885,4096
22,178240,4096
22,167936,4096
22,192614,4096
21,186154,4096
23,162323,4096
22,198606,4096
23,175036,4096
21,208719,4096
21,177292,4096
21,178237,4096
22,169384,4096
21,192451,4096
23,188825,4096
22,181705,4096
21,185728,4096
22,180827,4096
21,172779,4096
22,170182,4096
22,159283,4096
21,167509,4096
22,190094,4096
22,170418,4096
22,172993,4096
