setup_ns,run_ns,peak_mem
42,3986546,24576
43,3882919,24576
42,3809848,24576
44,3883250,24576
43,3985906,24576
42,3893041,24576
40,3832322,24576
43,3939816,24576
42,3888269,24576
44,4014652,24576
39,3954700,24576
44,3756375,24576
40,3838331,24576
45,3901050,24576
42,3802292,24576
43,3965832,24576
44,4005306,24576
40,3903375,24576
41,3799569,24576
43,4023924,24576
39,3942109,24576
42,3816957,24576
41,3849939,24576
43,3786473,24576
40,3884292,24576
43,3852060,24576
45,4162264,24576
42,3792567,24576
44,3921441,24576
45,3884884,24576
40,3947688,24576
43,3934112,24576
38,3767937,24576
45,3769885,24576
43,3858877,24576
44,3905131,24576
42,3872767,24576
41,3765096,24576
46,3826074,24576
43,3811146,24576
40,3860434,24576
43,3858494,24576
43,3914009,24576
42,3830056,24576
43,3812876,24576
40,3686675,24576
44,3853127,24576
40,3849826,24576
44,3864992,24576
43,3734889,24576
44,3975117,24576
42,3936068,24576
46,3902020,24576
42,3770193,24576
40,3829132,24576
39,3893584,24576
40,3730841,24576
39,3866311,24576
39,3858455,24576
44,4693368,24576
43,4675456,24576
42,3766596,24576
30,3783458,24576
43,3835893,24576
43,3923707,24576
45,3946664,24576
44,3930700,24576
43,3841640,24576
44,3826145,24576
43,3776162,24576
41,3948103,24576
44,3878034,24576
44,3744015,24576
45,3772205,24576
49,3807037,24576
41,3787294,24576
40,3926048,24576
42,3850628,24576
43,3860927,24576
40,3846228,24576
44,3860081,24576
43,3915518,24576
41,3717897,24576
39,3758862,24576
44,3829727,24576
41,3712631,24576
40,4120821,24576
44,3863483,24576
48,3896757,24576
45,3877420,24576
43,3807562,24576
44,3975384,24576
43,3842360,24576
47,3929046,24576
43,3890048,24576
43,3908700,24576
41,3808850,24576
44,3779909,24576
43,3850805,24576
45,3983624,24576
43,3945398,24576
40,3992796,24576
40,3985934,24576
44,3773596,24576
45,3776642,24576
44,3855692,24576
