setup_ns,run_ns,peak_mem
59,34029,0
83,33755,0
64,33646,0
68,34181,0
63,37515,0
59,33513,0
65,34110,0
64,33516,0
62,33202,0
57,33842,0
56,33375,0
63,33223,0
58,33174,0
32,34020,0
31,33483,0
60,33101,0
29,33200,0
30,33786,0
81,33270,0
81,33284,0
80,33313,0
79,33166,0
60,33760,0
59,33393,0
56,33037,0
78,33189,0
81,33449,0
86,33260,0
87,33251,0
80,33251,0
82,33403,0
32,39935,0
69,34862,0
59,33227,0
59,33118,0
57,33268,0
58,33178,0
56,33440,0
57,33380,0
63,33083,0
58,33205,0
59,33432,0
60,33327,0
33,33200,0
33,33161,0
79,33561,0
61,33331,0
59,33006,0
57,33097,0
61,33299,0
60,33447,0
66,33260,0
65,33289,0
69,33344,0
32,33305,0
31,33058,0
82,33095,0
88,33224,0
85,37589,0
83,33438,0
85,33354,0
66,33212,0
61,33195,0
65,33292,0
59,33591,0
58,33182,0
60,33264,0
60,33357,0
62,33538,0
61,33445,0
61,33088,0
84,33192,0
87,33454,0
56,33339,0
55,33311,0
60,33760,0
62,33599,0
64,33413,0
61,33416,0
64,33381,0
63,33575,0
60,33381,0
61,33410,0
64,33417,0
33,33528,0
60,33391,0
59,36638,0
77,33409,0
62,33395,0
63,33975,0
29,33530,0
29,33448,0
28,33431,0
33,33376,0
32,33666,0
59,33455,0
60,33390,0
60,33361,0
56,33330,0
32,33312,0
29,34087,0
30,33405,0
53,33269,0
34,33387,0
33,33381,0
30,33498,0
