setup_ns,run_ns,peak_mem
109,196280,0
100,213051,0
87,196339,0
86,231013,0
52,203539,0
80,200785,0
35,206286,0
72,202732,0
33,177661,0
65,217532,0
41,205747,0
46,198478,0
43,212578,0
52,204786,0
38,193498,0
48,208631,0
78,191446,0
56,205886,0
82,193024,0
87,190026,0
57,200371,0
30,208537,0
113,190191,0
35,209923,0
90,197224,0
68,203869,0
38,194323,0
56,207199,0
134,197220,0
37,215742,0
38,256242,0
51,198041,0
28,180944,0
37,210293,0
55,213770,0
35,182153,0
135,208562,0
32,183147,0
38,212508,0
48,195356,0
27,216910,0
106,215910,0
32,188981,0
59,195035,0
53,206313,0
40,191915,0
35,190192,0
33,190873,0
40,255583,0
101,214090,0
54,193452,0
35,200085,0
73,196325,0
58,190386,0
32,199714,0
67,213297,0
40,201855,0
94,203208,0
40,185015,0
36,207658,0
46,198880,0
64,213736,0
71,192492,0
67,184537,0
38,189887,0
95,199679,0
32,193655,0
108,189176,0
33,188871,0
37,188441,0
44,209100,0
84,189567,0
56,202111,0
50,205435,0
110,185637,0
47,203159,0
40,219312,0
85,175994,0
46,194722,0
32,207486,0
40,199224,0
125,196293,0
96,213178,0
88,188649,0
53,198376,0
51,186807,0
42,197503,0
34,208513,0
59,194324,0
67,199385,0
69,200034,0
103,182848,0
40,198802,0
42,193517,0
72,202641,0
77,184208,0
37,210695,0
38,214139,0
52,188780,0
33,195033,0
125,193404,0
34,203049,0
78,200917,0
55,193810,0
33,219274,0
35,187979,0
53,207049,0
96,193054,0
118,201080,0
39,191668,0
45,189026,0
77,203351,0
36,192836,0
36,190924,0
26,213823,0
