setup_ns,run_ns,peak_mem
42,208703,0
66,142505,0
111,198664,0
63,230960,0
40,158530,0
52,228476,0
56,179324,0
41,178978,0
101,185797,0
37,168623,0
26,167580,0
56,183184,0
34,161421,0
32,168786,0
53,158870,0
32,180737,0
65,185497,0
45,183889,0
46,170701,0
51,195175,0
34,181987,0
30,169202,0
26,172001,0
32,190079,0
40,172093,0
52,175817,0
43,139846,0
33,144404,0
22,181075,0
41,175240,0
44,168423,0
29,175799,0
31,160498,0
38,196863,0
49,169664,0
31,156612,0
45,180094,0
44,190531,0
36,155040,0
28,160857,0
51,168892,0
102,163435,0
30,173192,0
40,158202,0
29,184834,0
24,173351,0
36,176497,0
28,186592,0
29,164999,0
102,167936,0
36,184052,0
34,164171,0
121,192261,0
47,164089,0
46,184056,0
30,162843,0
28,170564,0
100,171543,0
75,179604,0
64,187390,0
60,185792,0
30,175422,0
31,192646,0
46,184796,0
61,175883,0
31,231538,0
36,169705,0
66,179593,0
52,164552,0
95,165076,0
43,166847,0
32,181233,0
30,182166,0
33,198139,0
38,176093,0
44,146046,0
77,186258,0
35,187804,0
32,174167,0
46,162710,0
47,175240,0
38,174896,0
36,165223,0
109,163302,0
40,176922,0
38,171197,0
45,182867,0
23,179585,0
31,184297,0
24,178776,0
35,160910,0
24,160836,0
60,185379,0
52,169093,0
56,175211,0
36,170751,0
99,170088,0
30,176817,0
45,176599,0
31,192928,0
41,153558,0
65,182029,0
77,167381,0
62,251885,0
76,172074,0
32,156934,0
51,183059,0
94,173875,0
52,168156,0
189,178518,0
27,182541,0
33,169318,0
51,176446,0
79,176948,0
