setup_ns,run_ns,peak_mem
50,3783316,0
103,3777323,0
68,3771041,0
126,3773494,0
117,3830821,0
140,3791043,0
135,3765383,0
74,3800925,0
127,3794598,0
182,3763056,0
47,3818485,0
108,3816129,0
66,3795308,0
40,3798940,0
46,3790368,0
114,3779061,0
134,3805550,0
127,3761640,0
48,3769081,0
121,3835301,0
96,3809460,0
136,3802946,0
95,3807740,0
125,3839410,0
24,3864231,0
35,3825788,0
98,3816393,0
117,3792799,0
92,3746398,0
72,3731151,0
137,3808033,0
64,3804171,0
118,3801942,0
114,3768875,0
154,3831335,0
110,3844646,0
112,3819228,0
97,3768627,0
113,3823558,0
118,3826492,0
98,3775462,0
124,3835387,0
111,3858164,0
76,3818400,0
68,3751548,0
31,3857157,0
95,3812876,0
46,3828293,0
129,3789606,0
106,3763331,0
139,3780034,0
31,3799691,0
73,3798211,0
71,3742891,0
126,3757333,0
109,3773639,0
76,3768188,0
77,3754989,0
36,3780315,0
30,3786474,0
25,3802487,0
113,3758498,0
41,3760339,0
125,3819845,0
76,3795569,0
81,3758795,0
88,3778719,0
135,3883938,0
101,3783441,0
88,3771404,0
29,3770634,0
42,3802645,0
84,3763113,0
69,3748948,0
107,3830100,0
39,3827284,0
117,3766312,0
74,3785456,0
51,3798751,0
94,3794529,0
86,3791734,0
27,3838241,0
75,3767066,0
117,3767401,0
89,3772658,0
109,3788655,0
29,3799850,0
105,3773010,0
90,3806218,0
126,3770590,0
122,3820286,0
48,3824877,0
113,3835283,0
114,3767288,0
74,3791257,0
201,3798283,0
110,3818497,0
151,3825728,0
78,3799820,0
143,3762990,0
36,3840980,0
86,3805104,0
71,3809561,0
28,3805565,0
91,3789936,0
138,3736815,0
33,3873015,0
133,3783028,0
33,3805697,0
128,3824576,0
144,3767566,0
144,3778141,0
35,3790637,0
91,3774788,0
76,3807956,0
38,3794374,0
73,3798277,0
