setup_ns,run_ns,peak_mem
1139,408663008,0
1164,409869965,0
947,405028504,0
929,406837559,0
951,408671171,0
1178,409481585,0
1105,405895720,0
1419,407155461,0
1152,408696828,0
999,409613543,0
1235,406758031,0
1134,409108611,0
1512,406982415,0
1009,406942640,0
938,407689254,0
1092,408279350,0
922,408967616,0
949,410111016,0
828,407046382,0
1441,409060841,0
860,405356770,0
1068,409033335,0
919,407280567,0
878,408937718,0
1164,407855855,0
1230,406272647,0
1139,406005026,0
1488,406650541,0
1322,408968095,0
1423,407906934,0
1491,407459281,0
1115,406857195,0
1211,406695612,0
1220,407101156,0
1263,407847831,0
1270,404596302,0
1060,407060566,0
1615,405310370,0
1346,407550330,0
1308,408691662,0
996,407778423,0
1165,407486517,0
1108,408246540,0
1461,407485126,0
871,406691939,0
1195,408204119,0
1091,406459339,0
967,405248325,0
1091,407597815,0
1213,408048511,0
1236,406608390,0
1692,407846286,0
1560,407245158,0
884,407179879,0
1046,406502423,0
982,408327042,0
1231,406621627,0
1639,407317595,0
1302,407203933,0
826,407298607,0
1177,408053201,0
1144,407121925,0
1017,406242168,0
992,406905258,0
1016,407923519,0
1358,407511815,0
1062,407242809,0
898,406721095,0
962,404714161,0
1216,406302747,0
1077,405647688,0
1069,407343197,0
831,406372776,0
980,407985960,0
1257,407498316,0
1232,408665314,0
1053,407083729,0
1201,407417786,0
938,406725312,0
1307,407466465,0
1011,407381738,0
1126,407863079,0
1071,407058558,0
1127,408064286,0
1391,408086203,0
1250,409510695,0
1241,406106520,0
1205,408223935,0
1381,406972590,0
1302,407618646,0
1169,407104574,0
1246,408009930,0
992,407323422,0
1365,408229085,0
1089,406487876,0
1108,407995176,0
1405,407575582,0
855,407373335,0
1039,409499799,0
948,407780277,0
1163,405851296,0
971,405432471,0
866,405636922,0
829,406893516,0
1043,407310281,0
1041,406999430,0
902,405482287,0
973,406732477,0
1197,407341314,0
981,406674940,0
1436,406246797,0
1761,407735776,0
1139,407596466,0
1113,407052862,0
1421,407420585,0
811,408034697,0
835,406636526,0
