setup_ns,run_ns,peak_mem
466,4320273,0
937,3928652,0
720,4108816,0
831,4824772,0
696,3822315,0
749,3870357,0
506,4547840,0
529,4866050,0
523,4386679,0
889,3832245,0
762,4606262,0
746,4167332,0
1195,4252943,0
413,4691393,0
499,3642079,0
391,3776791,0
655,4978768,0
435,4551638,0
810,3918540,0
427,4623738,0
697,4224416,0
363,4866361,0
760,4751020,0
915,4569518,0
840,4294916,0
894,4169940,0
904,4299961,0
646,4611854,0
797,3741170,0
518,3801465,0
839,4308866,0
780,4420045,0
739,4065649,0
529,3788580,0
714,4243202,0
1222,3607946,0
657,3958826,0
794,4216084,0
718,3961524,0
645,3776106,0
488,3919731,0
604,3801669,0
736,4226511,0
723,4294687,0
710,4621109,0
853,4233223,0
465,3799496,0
721,4389031,0
377,4854644,0
887,4245085,0
408,4107255,0
797,4504297,0
708,4440924,0
530,3862151,0
389,4884095,0
623,4106100,0
1084,4294714,0
675,4631675,0
480,4503539,0
720,4243291,0
510,3750340,0
507,4368772,0
576,4346094,0
730,4289602,0
816,4611079,0
752,3726966,0
751,3244042,0
1550,5100170,0
714,4359092,0
612,4211497,0
595,4309076,0
491,4873399,0
788,4197439,0
581,3816881,0
480,4732990,0
513,4647892,0
872,4310453,0
644,4128044,0
699,4229308,0
635,3583051,0
516,4221495,0
795,4107042,0
646,4356385,0
723,4124438,0
730,4134271,0
525,3625170,0
821,4193502,0
697,3840717,0
495,4294275,0
805,4151532,0
748,4075706,0
543,2811947,0
616,2797019,0
685,2803418,0
793,2811694,0
770,2802226,0
669,2814431,0
601,2797634,0
529,2806289,0
521,2795408,0
554,2790154,0
575,2812810,0
467,2793395,0
675,2795944,0
655,2798439,0
577,2797062,0
775,2800641,0
573,2816441,0
534,2796436,0
576,2817698,0
650,2803172,0
1253,2793802,0
550,2795184,0
573,2799530,0
551,2886048,0
574,2796804,0
562,2802006,0
614,2802148,0
534,2808401,0
473,2799917,0
659,2814464,0
698,2812968,0
605,2798182,0
699,2796894,0
603,2798449,0
604,2837416,0
492,2796149,0
709,2797846,0
680,2802205,0
698,2807492,0
658,2810969,0
740,2799907,0
616,2803064,0
641,2801716,0
