setup_ns,run_ns,peak_mem
962,90599463,0
935,93351213,0
1185,90956411,0
955,90929108,0
995,90958008,0
980,90980678,0
1192,90974555,0
1858,90988766,0
1365,90934801,0
1421,90935122,0
1028,90955262,0
886,90995023,0
1081,90922511,0
989,90951731,0
935,90926574,0
954,90917931,0
1048,90912115,0
858,90915492,0
927,90892728,0
978,90899267,0
1030,90962724,0
1037,90919947,0
1083,90927479,0
1102,90931212,0
1185,90903919,0
1006,90958283,0
907,90914983,0
909,90958528,0
899,91029822,0
995,90955973,0
1168,90947941,0
1027,90980226,0
1142,90949069,0
934,90934537,0
960,90943110,0
1007,90959825,0
1240,90917023,0
1153,90968466,0
1065,90946524,0
1030,90937681,0
1037,90960879,0
1307,90952031,0
1248,90953714,0
1020,90911585,0
949,91021621,0
1097,90918063,0
907,90924233,0
851,90960831,0
1190,90948600,0
1017,90960891,0
1081,90960430,0
912,90919699,0
1016,90947618,0
1139,90957928,0
1102,90941453,0
1003,90921865,0
1017,90939161,0
1015,90924544,0
1022,90936924,0
1264,90917962,0
1065,90911598,0
964,90921568,0
979,90936971,0
1024,90959653,0
1331,90918619,0
1062,90890079,0
1003,90946521,0
1308,90909192,0
1348,90955786,0
1242,90967794,0
891,90888862,0
840,90927609,0
1078,90934748,0
1021,90974870,0
901,90954252,0
888,90951483,0
1265,90938702,0
1305,90884293,0
1044,90929909,0
939,90991521,0
1162,90903068,0
831,90939498,0
985,90951664,0
1115,90882416,0
974,90886541,0
992,90975301,0
1237,90943404,0
1263,90867664,0
1241,90900234,0
888,90951563,0
1137,90910346,0
1236,90898970,0
1003,90936248,0
977,90958252,0
1127,90884317,0
1043,90952946,0
1105,90965483,0
1100,90992924,0
909,90928556,0
1033,90872824,0
1142,90861222,0
933,90972878,0
1223,90938757,0
935,90898184,0
1167,90901648,0
951,90970422,0
1069,91009070,0
1391,90929985,0
944,90975745,0
