setup_ns,run_ns,peak_mem
531,6954269,0
778,8066968,0
398,7845001,0
547,7855389,0
409,7362870,0
442,7855118,0
487,7009136,0
326,7878534,0
546,6322036,0
669,7065033,0
731,6395428,0
429,7624752,0
885,7850556,0
758,7375774,0
660,7129810,0
327,7124337,0
483,7535530,0
745,6891550,0
830,7380554,0
652,7187707,0
607,6942623,0
603,7544879,0
751,7476430,0
783,7116431,0
542,7781368,0
901,7476560,0
515,5740215,0
777,5447993,0
889,5500563,0
635,5422337,0
604,5429255,0
578,5451274,0
763,5412090,0
562,5461528,0
733,5459550,0
754,5426096,0
567,5406385,0
480,5444296,0
771,5429096,0
776,5446151,0
728,5455749,0
482,5463402,0
624,5438988,0
599,5436968,0
660,5416588,0
807,5423696,0
792,5415190,0
745,5438478,0
535,5483171,0
528,5407665,0
730,5439413,0
1067,5449046,0
