setup_ns,run_ns,peak_mem
105213,536788133,219938816
105046,537608784,219938816
104632,535465457,219938816
104880,536955932,219938816
103585,539439874,219938816
104287,537981936,219938816
103818,536129567,219938816
103595,534443366,219938816
103395,535721843,219938816
104786,538014232,219938816
104946,537460338,219938816
104825,539648262,219938816
105004,537231585,219938816
106477,537522330,219938816
105572,536918946,219938816
105682,533800776,219938816
106682,534498347,219938816
106990,536214951,219938816
108401,536585824,219938816
107902,534125779,219938816
107271,532669752,219938816
107928,533689320,219938816
107071,537082243,219938816
107653,536654075,219938816
108063,536474302,219938816
106870,535631246,219938816
107758,538739894,219938816
111296,537221543,219938816
107487,537837374,219938816
107116,535451467,219938816
107570,534989565,219938816
109749,534268304,219938816
108319,532905921,219938816
109746,535144436,219938816
108687,537301848,219938816
107752,534434005,219938816
110420,533029950,219938816
114102,534405869,219938816
110172,533865741,219938816
109945,533711366,219938816
108713,533854682,219938816
108289,533460379,219938816
113137,535887831,219938816
112241,538397087,219938816
110091,537415781,219938816
109561,537841111,219938816
110656,537766344,219938816
113051,538005213,219938816
109380,540166225,219938816
109115,537736500,219938816
111777,536607846,219938816
110654,537972971,219938816
110266,534998834,219938816
110323,536851705,219938816
109631,534562311,219938816
114020,539132469,219938816
110325,536301597,219938816
109853,536852517,219938816
110234,538357854,219938816
108955,534882016,219938816
111797,536989783,219938816
111172,538705155,219938816
110470,536846851,219938816
109861,535948343,219938816
109805,535039631,219938816
109844,533405354,219938816
114057,533937114,219938816
108999,533311807,219938816
110794,533763590,219938816
109164,534508032,219938816
109558,532498567,219938816
108706,533630330,219938816
110325,533979139,219938816
145434,537978890,219938816
121199,534911693,219938816
117318,535813875,219938816
119093,536210278,219938816
116181,537613534,219938816
120330,536658388,219938816
116076,537870873,219938816
114770,534799397,219938816
113375,534047832,219938816
115151,535000799,219938816
118406,535489840,219938816
115965,534890324,219938816
113114,536435692,219938816
114276,534949605,219938816
115153,534232600,219938816
114262,533905718,219938816
115011,536554518,219938816
115824,535700300,219938816
114442,534862103,219938816
114036,535007312,219938816
113305,535013602,219938816
115852,535126292,219938816
116840,536586457,219938816
119282,536455448,219938816
126954,534858707,219938816
124389,535914047,219938816
120862,532815437,219938816
120061,533664731,219938816
118730,534463072,219938816
118186,534907307,219938816
115403,532937179,219938816
121397,533168053,219938816
116440,534227595,219938816
117731,533844659,219938816
117738,534624517,219938816
115738,535237610,219938816
112814,536705742,219938816
112147,535433358,219938816
116246,536769573,219938816
