setup_ns,run_ns,peak_mem
656899,222196549,336396288
655501,222191064,336396288
653031,221954759,336396288
647843,222017405,336396288
651231,222148727,336396288
653330,222229526,336396288
650614,222506648,336396288
653053,222369134,336396288
651933,222149730,336396288
652179,221910744,336396288
655280,221957779,336396288
646097,222059502,336396288
652426,221944982,336396288
655471,222179495,336396288
647755,222024424,336396288
650852,221994840,336396288
652558,222150132,336396288
652802,222288033,336396288
680118,222329224,336396288
654110,222376572,336396288
651773,222238770,336396288
653119,221914983,336396288
647198,222044507,336396288
652315,221950392,336396288
653208,222147340,336396288
647178,222140264,336396288
646143,222080651,336396288
652180,222149112,336396288
689570,221832657,336396288
661544,221972847,336396288
662079,221944907,336396288
662339,221957844,336396288
656328,221765967,336396288
659370,221806537,336396288
652872,221715517,336396288
658345,221719794,336396288
653569,221823222,336396288
661690,221801994,336396288
657789,221883888,336396288
659682,221733238,336396288
651835,221860044,336396288
659066,221960852,336396288
653009,221746550,336396288
660167,221789938,336396288
655113,222278784,336396288
654492,222246311,336396288
654021,222030130,336396288
658102,221745338,336396288
654977,221881202,336396288
658728,221872552,336396288
662068,221890225,336396288
653487,222028687,336396288
658013,221597848,336396288
653747,221851504,336396288
660111,221897263,336396288
655567,221994071,336396288
661063,221951195,336396288
660921,222008171,336396288
654980,221791148,336396288
659597,221979155,336396288
657759,221978702,336396288
651929,222314696,336396288
655100,222254554,336396288
657891,221873527,336396288
662542,222149236,336396288
657300,222065327,336396288
653995,221714192,336396288
660299,221857579,336396288
653484,221656743,336396288
660182,222088532,336396288
653838,221851785,336396288
660788,221729078,336396288
654967,221927402,336396288
657621,221948428,336396288
660908,221848657,336396288
654437,221950120,336396288
658130,221731284,336396288
653559,221735957,336396288
660424,221728361,336396288
653248,221787422,336396288
659340,222056193,336396288
653730,222044083,336396288
654679,221756503,336396288
659107,221944222,336396288
651816,221773771,336396288
660101,221929683,336396288
651629,221844775,336396288
656982,221847445,336396288
650786,221972695,336396288
658259,221831595,336396288
658922,221751153,336396288
655833,221860449,336396288
658840,221981942,336396288
648963,221975352,336396288
660434,222112951,336396288
659735,221825194,336396288
651502,221835635,336396288
660618,221968534,336396288
652591,221936492,336396288
654722,221752006,336396288
663248,222129690,336396288
654070,222009420,336396288
658269,221936256,336396288
661379,221891694,336396288
652746,221922919,336396288
659556,221871437,336396288
651212,221804012,336396288
658602,221884147,336396288
665680,221856413,336396288
655359,221933107,336396288
656916,221978329,336396288
652405,221827218,336396288
656643,221762419,336396288
653800,221707201,336396288
656685,221963545,336396288
651233,222155035,336396288
651723,222077853,336396288
658205,222138814,336396288
668613,222286078,336396288
659046,222255992,336396288
659370,222336449,336396288
656264,222446003,336396288
655453,222365599,336396288
657292,221882076,336396288
658046,221946138,336396288
653741,221879486,336396288
658362,221944820,336396288
661132,221745793,336396288
657591,222055168,336396288
658166,222172188,336396288
664522,221949245,336396288
653195,221908484,336396288
659233,222111574,336396288
658277,221854219,336396288
654316,221848596,336396288
661049,221886258,336396288
652812,221962067,336396288
659748,221997905,336396288
659718,222054137,336396288
653732,222310633,336396288
651892,222287994,336396288
651398,222365542,336396288
652762,222058847,336396288
650996,221848698,336396288
666087,221881879,336396288
651711,221974082,336396288
658158,222024186,336396288
658140,222573166,336396288
658885,221958102,336396288
659046,222331294,336396288
660964,222541402,336396288
658225,222410173,336396288
658208,222319298,336396288
657324,222194750,336396288
659197,221983042,336396288
660593,221800201,336396288
659019,222000425,336396288
656856,221937924,336396288
652962,221853734,336396288
658644,221826559,336396288
660406,221916849,336396288
656311,222140957,336396288
662385,221916177,336396288
659566,221750877,336396288
658705,221925679,336396288
657034,222051055,336396288
650707,221879503,336396288
660900,221933224,336396288
661767,221899846,336396288
652323,221786303,336396288
662234,221778226,336396288
654468,221917559,336396288
662221,221950471,336396288
649823,221968709,336396288
655752,222042003,336396288
658848,221776607,336396288
649230,221893728,336396288
660490,221883834,336396288
654831,221888614,336396288
653542,221908425,336396288
660275,222014774,336396288
651011,222016252,336396288
657620,222173810,336396288
665809,221896030,336396288
658872,221992482,336396288
650461,221948026,336396288
657673,221961654,336396288
659284,221964803,336396288
655658,221816644,336396288
657986,222015585,336396288
652787,221803928,336396288
658745,222040985,336396288
656850,221960934,336396288
652661,221807346,336396288
660206,221959770,336396288
653353,221866216,336396288
659830,221975992,336396288
