setup_ns,run_ns,peak_mem
150324,72337115,217186304
144740,72387840,217186304
142058,72425224,217186304
143589,72406686,217186304
148454,72494921,217186304
148775,72339379,217186304
180369,72304097,217186304
143894,72371465,217186304
138396,72388985,217186304
180270,72440343,217186304
142452,72333060,217186304
149490,72280056,217186304
145608,72375564,217186304
177335,72472892,217186304
159331,72476353,217186304
143716,72386742,217186304
174138,72375703,217186304
139637,72344492,217186304
141313,72522570,217186304
142257,72480474,217186304
139084,72296485,217186304
143163,72566018,217186304
143401,72569978,217186304
159081,72468214,217186304
146271,72574419,217186304
139477,72308355,217186304
144950,72289636,217186304
142952,72337179,217186304
133188,72625865,217186304
141465,72391250,217186304
180602,72335622,217186304
148259,72408756,217186304
144321,72513941,217186304
143014,72459368,217186304
149603,72447705,217186304
143386,72542331,217186304
195985,72785665,217186304
182792,72611495,217186304
177624,72635658,217186304
147820,72663413,217186304
143622,72655598,217186304
184196,72670750,217186304
149694,72677957,217186304
176846,72608543,217186304
142311,72754471,217186304
180585,72756974,217186304
197592,72861730,217186304
144184,72723247,217186304
150995,72646483,217186304
144242,72761432,217186304
151924,72635651,217186304
182233,72667454,217186304
141330,72691961,217186304
144752,72630199,217186304
146961,72645694,217186304
145362,72781502,217186304
145214,72675696,217186304
145441,72731254,217186304
136530,72621643,217186304
142844,72748108,217186304
149571,72637805,217186304
144749,72696459,217186304
149971,72766154,217186304
144091,72774160,217186304
145309,72827884,217186304
146368,72798754,217186304
143627,72717641,217186304
145590,72663770,217186304
147624,72714494,217186304
149665,72620855,217186304
143522,72563297,217186304
155033,72620667,217186304
157401,72599412,217186304
144004,72624514,217186304
140768,72595637,217186304
144623,72730805,217186304
144938,72552237,217186304
144712,72646925,217186304
143127,72652284,217186304
150275,72717341,217186304
144159,72720746,217186304
143827,72577971,217186304
146497,72754158,217186304
160671,72656734,217186304
148319,72752321,217186304
151417,72767635,217186304
143807,72830239,217186304
144082,72746617,217186304
144546,72657001,217186304
145383,72636519,217186304
144621,72621933,217186304
143639,72641233,217186304
142759,72613780,217186304
157237,72677911,217186304
143901,72646959,217186304
145623,72666700,217186304
143917,72586016,217186304
145026,72693946,217186304
149309,72608554,217186304
137355,72672613,217186304
146847,72643273,217186304
139755,72776356,217186304
140238,72712741,217186304
143762,72655107,217186304
140856,72706530,217186304
143587,72635550,217186304
144592,72686496,217186304
179905,72646027,217186304
153518,72598803,217186304
147584,72674364,217186304
143290,72638770,217186304
143548,72631366,217186304
143064,72613985,217186304
144106,72595837,217186304
143719,72601458,217186304
146695,72637014,217186304
143225,72614054,217186304
