setup_ns,run_ns,peak_mem
867,231340295,0
1128,231552119,0
758,232336122,0
808,231582812,0
689,231428954,0
853,231862646,0
698,231912157,0
839,232289648,0
802,231928371,0
743,232112777,0
728,232252454,0
779,231517801,0
761,231393229,0
808,232076371,0
839,232302338,0
705,231800696,0
777,231864361,0
722,231264717,0
842,231747448,0
776,231737751,0
835,232001184,0
757,231851507,0
720,231503496,0
753,232491413,0
795,231978582,0
801,232099802,0
763,232270922,0
814,232464065,0
758,231777820,0
1028,231946738,0
782,232039858,0
843,231564912,0
762,231188278,0
712,231417972,0
792,232623742,0
1268,231610907,0
751,232626843,0
720,232389356,0
847,231621887,0
995,231667648,0
718,232165992,0
733,232120155,0
1013,231933112,0
819,232404031,0
791,232139651,0
807,232247656,0
827,231402678,0
705,232597012,0
797,231611069,0
714,232088295,0
797,232186885,0
862,231392168,0
759,232354423,0
752,232048239,0
847,231675197,0
810,231576815,0
718,232431358,0
885,231854851,0
820,232160070,0
754,232196340,0
785,231863127,0
787,231930034,0
767,231609046,0
738,232093270,0
883,231483551,0
901,231681650,0
948,230949395,0
779,232001546,0
725,231727448,0
1266,231324959,0
774,232286371,0
878,232125455,0
868,231875013,0
956,232215091,0
924,231301231,0
1175,231559893,0
819,232046223,0
778,231711213,0
783,231809996,0
815,232277353,0
821,231985601,0
791,232109853,0
805,232176559,0
842,231674957,0
938,232404897,0
808,231603119,0
962,231191032,0
814,231434732,0
810,232256486,0
742,232141718,0
811,232401847,0
846,231993902,0
747,232071642,0
1072,232223513,0
884,231989711,0
859,231906099,0
812,232055950,0
875,231150597,0
734,231388170,0
785,232219271,0
729,231737788,0
855,231195875,0
698,231824232,0
776,231533952,0
714,231003670,0
1206,231725126,0
744,231846029,0
865,232177939,0
757,232394967,0
862,231865183,0
734,231850994,0
802,231646107,0
830,231808054,0
865,231891459,0
1060,231343217,0
859,232066441,0
823,232127049,0
798,231820912,0
903,232069070,0
936,231802237,0
837,232084014,0
899,231825369,0
828,231973975,0
974,231682942,0
762,232185130,0
860,231601962,0
818,232082642,0
1128,231790075,0
859,232606651,0
806,231880391,0
739,231616243,0
1106,232738413,0
828,232052485,0
7178,232461512,0
724,232187341,0
977,231965696,0
797,231847551,0
779,232294795,0
853,232234120,0
899,231774696,0
852,231676880,0
779,231662505,0
843,231751417,0
857,232322140,0
992,231930385,0
705,232500237,0
695,232153987,0
757,231724487,0
816,231491288,0
736,231842930,0
961,231301538,0
771,231853818,0
824,231337484,0
916,232198424,0
811,231601524,0
777,232001673,0
988,232395705,0
800,232325887,0
716,232347473,0
994,231554045,0
860,231082256,0
848,231759808,0
855,232095266,0
782,231472324,0
762,231928577,0
719,232282428,0
905,231769665,0
752,232160401,0
924,231369135,0
715,232394800,0
706,232292422,0
890,231836792,0
753,231814435,0
816,231784290,0
954,231211170,0
777,232281408,0
1015,231892831,0
748,232414233,0
807,231761775,0
843,232442031,0
1098,231878168,0
911,231768669,0
780,232064259,0
1015,231871919,0
778,232451807,0
904,231802252,0
730,232428098,0
691,232133963,0
909,231316509,0
945,231891745,0
1133,231794052,0
911,231708441,0
837,231860402,0
869,232045345,0
761,231506168,0
718,232344388,0
692,231814695,0
752,231701586,0
687,231511202,0
713,231363956,0
853,232163208,0
817,231921623,0
721,232246601,0
901,231764991,0
721,232418606,0
789,231936436,0
787,231837874,0
764,231709699,0
909,231632999,0
868,232038326,0
816,232343713,0
836,232095320,0
694,232395121,0
768,232429831,0
939,231359074,0
704,232156037,0
853,231585140,0
840,232000208,0
834,231461339,0
1124,231652421,0
834,232059362,0
760,231577108,0
960,231560036,0
832,232026235,0
1261,231806228,0
839,231482479,0
778,232237646,0
765,231314815,0
820,231939132,0
997,232308693,0
772,231752428,0
852,231129476,0
847,231353672,0
777,232088164,0
869,231713863,0
815,232595586,0
685,231872845,0
839,232385741,0
831,231795702,0
825,231558533,0
805,231540406,0
795,231709228,0
878,231725081,0
831,231685925,0
847,232206937,0
743,231294594,0
713,232236854,0
847,232012879,0
736,232481221,0
709,232108216,0
906,231859543,0
853,231842405,0
835,232053875,0
836,231434637,0
738,231899909,0
1132,232229698,0
746,231188886,0
834,231703483,0
724,231159436,0
