setup_ns,run_ns,peak_mem
383866,670081481,1779302400
258147,677270756,1779302400
251820,672729003,1779302400
365362,668990832,1779302400
214420,677192946,1779302400
310405,669547418,1779302400
205223,671272685,1779302400
283222,676566567,1779302400
372968,670289266,1779302400
166393,669864673,1779302400
309950,671707506,1779302400
156011,669360728,1779302400
243454,670654066,1779302400
231262,669620900,1779302400
249119,667948118,1779302400
213399,668300750,1779302400
153429,669927060,1779302400
168710,670727493,1779302400
161339,670326119,1779302400
219474,676735118,1779302400
261014,671259629,1779302400
336102,668447027,1779302400
341279,669812609,1779302400
184043,670432220,1779302400
152977,669337914,1779302400
158855,670164953,1779302400
298970,669915342,1779302400
268288,669884725,1779302400
317540,669640954,1779302400
376412,667796163,1779302400
328290,670024323,1779302400
276449,670624015,1779302400
364801,670288593,1779302400
323213,670275089,1779302400
346645,670073888,1779302400
355301,670266346,1779302400
370532,669352232,1779302400
261342,670751774,1779302400
159887,670196506,1779302400
260103,677856805,1779302400
185647,677990832,1779302400
345146,670601566,1779302400
360830,669264080,1779302400
322423,670383292,1779302400
164886,669852497,1779302400
372630,670571925,1779302400
376828,669999903,1779302400
268742,670213491,1779302400
247938,670808862,1779302400
229021,670562869,1779302400
314923,670056114,1779302400
293738,671442684,1779302400
343796,670458548,1779302400
278260,677552770,1779302400
237680,669733257,1779302400
231482,670659690,1779302400
368739,669201325,1779302400
152727,670757541,1779302400
149473,671116939,1779302400
147142,668776306,1779302400
339501,670040043,1779302400
215897,669279329,1779302400
325133,668891158,1779302400
259539,668966710,1779302400
214609,670273421,1779302400
294791,670755517,1779302400
242396,668708948,1779302400
162713,671518275,1779302400
168337,669138440,1779302400
280893,669325590,1779302400
186920,669560990,1779302400
249766,670626299,1779302400
267827,669704942,1779302400
284678,669481017,1779302400
228972,669731413,1779302400
277962,671707905,1779302400
396893,670095073,1779302400
262709,669812381,1779302400
227684,670356414,1779302400
166799,670388556,1779302400
233787,670083715,1779302400
190781,670936310,1779302400
236847,668784921,1779302400
290653,669019444,1779302400
263538,669359535,1779302400
259826,677409122,1779302400
345935,668811312,1779302400
357383,668692960,1779302400
186114,670348877,1779302400
262782,670521986,1779302400
