setup_ns,run_ns
97724,163264098
99256,164850660
98563,164173659
98926,164667480
101998,164563710
98504,164732289
104749,164252093
98402,163870768
99542,164663234
98791,164222944
96792,163810534
99868,164616859
98846,162920585
98008,165792031
97258,164356511
99039,164554255
96986,163680446
98983,166417276
97336,165109822
99981,164656762
99005,170339758
99202,166090453
99409,166594287
98352,166555593
97545,166117499
97455,164421350
97391,165101971
97362,165098320
97403,165649193
97887,165454011
97989,167540206
97899,164808025
98967,165342340
99059,166169399
97769,165487096
98620,165703512
98630,165744318
97632,166131451
102969,165985737
102722,165817709
98089,165446744
101781,165909500
98015,166301605
97566,165451243
96939,165668863
96806,165764343
97505,166712343
99536,166726769
98262,165690119
98334,165909767
157009,166813503
167252,166180713
121634,166580855
113529,166783339
103314,166523849
105760,166441485
102228,166199129
101053,167178616
100922,166443048
102132,166306599
102661,165462182
100657,166642632
99858,166088721
100858,166043220
99623,166103319
101450,165541547
100697,166113677
101524,166165230
102695,166046511
100554,166118584
99884,166075924
104474,166589013
99401,165952848
100413,169182821
98923,166940805
99302,166932551
101496,167846347
101609,169555278
100926,168968518
104487,168776188
101111,168254195
102147,168153292
100891,168388671
123755,165277523
107765,166261850
104183,166113685
102389,165281370
101569,166350532
101142,167199404
101712,169766640
111976,166222378
111008,166735495
103124,168245531
114418,169214093
101752,168780211
102099,168580628
107717,169253172
102969,169103502
106095,167834263
98605,169094478
100275,169172791
102589,167729057
100608,169239752
99096,168446178
101164,167706711
99598,169077684
99136,168067204
101858,169146953
100151,171360358
98359,168548926
98044,167359766
101830,168863900
100928,168356249
100349,167945716
100310,168907743
98292,168796565
116664,165774899
107859,168543798
102155,168306784
102282,167295725
140626,167366227
103054,166885953
102764,165936663
100221,167850760
98336,165681047
100733,164840291
98834,169077781
98025,166767898
100971,163983663
99980,165735767
99198,164614413
100800,167386885
106751,166191493
100975,167552375
99673,166790596
99517,173095049
97465,167509066
99999,168655480
100143,168069870
99689,167280149
99012,169061257
101207,165684069
99367,166817668
98422,168042903
99311,168607720
98271,167124944
98783,165809352
98026,165918272
97362,164315870
98991,166100983
97350,165822508
98762,167532561
98574,166117391
99219,165275828
99110,169914616
98439,165598587
99521,168453226
100566,167008486
98371,168986409
98295,168384410
98253,167092664
100530,171140428
100401,169598925
98618,167644644
98073,167710867
98919,168307956
98912,170718815
113882,168119929
92417,168732511
92855,167658796
91613,165415968
89913,166804753
90949,169441053
100657,166237247
90850,165007156
89971,166365782
89475,167053375
88618,166055260
90219,167380375
98738,166554606
92766,165564671
91935,167726340
95712,167979253
91084,166589106
90056,166983516
90480,168008566
94462,167484489
91396,165962194
90451,166233882
91202,167909505
89637,165301721
90812,165871314
88801,165877127
88786,170082461
90570,169626927
88945,169184522
90320,169135820
91701,174057751
89110,169232830
92095,169255183
91526,157338167
90840,166159579
100988,167512105
90231,168438133
89762,167971442
89535,165107257
89694,164495251
90168,167825916
92164,165321554
89550,167258018
88342,166139530
102150,166537622
95332,165209749
93132,168058589
95915,165621049
94001,169586856
93075,165820446
91869,168285823
92536,168291019
96804,167378105
90487,167715590
96330,168856617
89564,165497152
91845,166814539
91436,167199961
90382,169605911
93325,167565749
93202,168055954
92906,168248176
89660,168463373
94856,166308157
89164,174259894
88513,168421877
91554,165833858
90248,164768281
92859,167930318
89961,167143102
90666,168271071
89828,167193209
91308,166058346
87247,165742774
89345,167713920
89596,166756743
89234,165277736
87448,164960423
89071,167099404
89354,166203310
159740,165908302
150682,166253782
153168,168493178
149751,166061680
149203,165563793
145337,165006471
129791,167424211
125737,165186102
120566,166655057
125473,165112836
127653,166571193
116406,165993114
151680,165882973
142088,166753231
129336,167703853
133222,168737919
124214,166191146
129746,167275765
122647,170225964
160647,167986530
155562,165905065
129867,156705197
167888,169679071
167450,168660968
162936,168008005
163522,169623430
158092,168968896
160788,167455658
161868,166273107
156289,166104429
157134,166885763
159789,167609053
154547,167243874
156410,167528569
152047,167404308
160539,166363232
149636,167250548
143353,165568753
137499,165698587
138752,164957921
159522,165723334
164164,165798000
129347,166208398
117420,165416195
112137,165473714
109915,164497926
103763,164066817
103527,164793403
104346,165304533
102021,165641029
99668,165601679
101587,165488748
105227,165936959
101817,164453628
101433,166048259
104734,168206897
107344,166891813
101936,165937309
113465,165250360
104349,164859210
104606,165412588
100394,164939930
100825,166761410
100017,165296816
101666,165312478
99626,164781634
101301,164574785
100276,165223644
98468,165231825
99585,165321497
99473,166378234
99776,164927570
98563,165502539
100072,167910388
98321,165874396
103728,166693070
104989,166028096
99556,165959165
99292,165210208
97599,166283808
102025,165049777
100109,165581239
100673,164767253
97429,164701011
102159,164738335
100218,164375972
100597,167075117
100521,164854539
101484,164983260
102850,165749812
100548,170755072
98760,164767629
105026,165433003
110530,165823853
105172,168173391
100279,168175623
106456,168555865
99206,169497306
98331,166466991
101755,170065600
107577,168179950
102712,165314952
107850,167358741
100805,167546367
100143,167620398
99800,166922947
105380,165888334
102455,168861502
103552,167083273
101047,164277583
100203,167292745
100777,165860405
102476,167226642
