setup_ns,run_ns
115375,1050691052
110798,1050205632
120615,1049239518
108273,1049935530
109832,1051690635
110533,1049417557
111763,1050015167
110056,1049931754
108928,1050065747
108671,1049019109
108717,1049353261
111295,1049303120
110263,1048832989
106397,1049164028
106160,1052585323
108087,1050905234
105873,1056053647
107751,1051197947
104989,1050424580
108876,1055773356
106452,1051298776
107172,1049802538
116362,1054511791
109087,1057825994
105959,1050293466
106116,1048868698
113361,1048651131
107546,1049874162
105654,1050053013
105225,1049654103
118889,1049221814
103377,1050004019
107603,1050396259
141775,1050733417
120002,1052436243
112301,1050737093
105291,1054973601
108412,1053391704
112641,1054664477
110615,1051115334
106640,1052765704
113470,1051390205
107383,1051832546
105544,1052191273
105394,1057198255
106949,1051769086
104666,1051995101
104368,1050525465
103640,1052177225
105775,1051298010
103638,1053692857
105444,1051510816
105167,1050972846
105791,1051326281
106045,1051383673
103849,1051061010
103681,1053508604
110791,1051523214
