setup_ns,run_ns,peak_mem
1725299,698195296,2309750784
1720804,698345686,2309750784
1724637,697554190,2309750784
1726912,697825592,2309750784
1724346,697319028,2309750784
1718508,697554002,2309750784
1725374,698403638,2309750784
1725652,697408124,2309750784
1715925,697535828,2309750784
1726565,697456107,2309750784
1722581,696974642,2309750784
1729389,698629820,2309750784
1724642,698270076,2309750784
1726959,697088238,2309750784
1726908,697449176,2309750784
1723488,697243614,2309750784
1724973,697730725,2309750784
1719859,696965592,2309750784
1720973,697430731,2309750784
1713741,697508473,2309750784
1717331,697680749,2309750784
1723664,697836076,2309750784
1723224,697300521,2309750784
1725439,697561298,2309750784
1723288,697350421,2309750784
1717893,696675204,2309750784
1722717,697705199,2309750784
1730144,697260963,2309750784
1726478,696924658,2309750784
1719178,697181617,2309750784
1729886,697449018,2309750784
1725625,697809613,2309750784
1725067,697334606,2309750784
1723255,698144475,2309750784
1722923,696630839,2309750784
1723369,697012953,2309750784
1721248,699207170,2309750784
1726038,698187691,2309750784
1727060,697048994,2309750784
1727080,697938738,2309750784
1721920,696604648,2309750784
1715655,697654725,2309750784
1722556,697619011,2309750784
1717825,697546167,2309750784
1721009,697229365,2309750784
1725802,696535882,2309750784
1724839,697272740,2309750784
1722882,697944557,2309750784
1721707,697423011,2309750784
1731842,697291703,2309750784
1723341,696705983,2309750784
1719091,697518567,2309750784
1721240,697066706,2309750784
1719670,697730005,2309750784
1724676,697673026,2309750784
1721937,697684899,2309750784
1717419,698180042,2309750784
1723406,696988447,2309750784
1713592,698237575,2309750784
1722951,697990434,2309750784
1722538,697609356,2309750784
1741829,696847072,2309750784
1723788,698316688,2309750784
1721379,696598518,2309750784
1724683,696385787,2309750784
1730069,696877375,2309750784
1722236,697733787,2309750784
1722385,697636833,2309750784
1720605,697095116,2309750784
1718523,697313681,2309750784
1729681,697497217,2309750784
1726327,697318466,2309750784
1720037,697201074,2309750784
1716850,696306827,2309750784
1723807,697953755,2309750784
1724540,697162565,2309750784
1718113,698056342,2309750784
1716675,698138487,2309750784
1718785,698200621,2309750784
1724453,697815603,2309750784
1722844,698117446,2309750784
1721115,698198589,2309750784
1719311,698152771,2309750784
1716055,697013457,2309750784
1719029,698359856,2309750784
1724016,696630483,2309750784
1721365,698319553,2309750784
