setup_ns,run_ns
471,6638987
390,6617736
480,6627566
531,6614862
431,6677912
161,6639969
471,6606175
441,6635942
451,9296572
1192,9282365
471,7120173
431,7009602
401,7030642
621,6980377
741,6841814
391,6871660
211,6818849
461,6744248
381,6771890
611,6724821
651,6700284
451,6657222
451,6641552
752,6646201
431,6646712
501,6595676
491,6654406
291,6617617
541,6603470
701,6629640
591,6622867
320,6619160
411,6626243
371,6602257
461,6624340
211,6611896
201,6596386
181,6644638
140,6620953
441,6607978
441,6615523
491,6669135
531,6820102
631,6452823
161,6471989
531,6586317
121,6577510
121,6556019
140,6583302
381,6593972
390,6582781
430,6595645
471,6597548
521,6589523
591,6610803
330,6604653
431,6620583
701,6656842
641,6591367
551,6650179
491,6616936
451,6649417
561,6642153
511,6623589
451,6602468
491,6619911
702,6635280
371,6632756
400,6638085
581,6654217
481,6595706
521,6622636
441,6630682
761,6657152
571,6620833
521,6648546
480,6609451
381,6618598
592,6609711
491,6618177
491,6618989
441,6633617
481,6664757
390,6613079
361,6625512
230,6637534
390,6627185
611,6697729
672,6731944
831,6613049
581,6637995
461,6653805
761,7383273
431,6572020
471,6609291
381,6621955
521,6648866
231,6762452
561,6652583
541,6654808
621,6647715
501,6654777
180,6713038
401,6688351
161,6630611
190,6646121
842,8011638
261,6739779
541,6830832
531,6810995
461,6765057
531,6780066
661,6766551
190,7761743
481,6641151
471,6668805
521,6745049
381,6695795
250,6681408
260,6670908
160,6684454
230,6680487
181,6660138
150,6664927
