setup_ns,run_ns
8429,396234845
7438,395653367
7739,395688546
7257,395879589
8357,395573733
7689,395695654
7804,395717887
7231,395571920
7324,395756458
8447,395490538
8227,395671941
7633,395530597
7930,395623910
7721,395704045
7371,395615790
7808,396042462
7963,395608724
8103,395912124
7670,396219214
7863,395501905
6984,395704709
7501,395767269
7777,395562332
7640,395673437
7779,395811331
8643,395589084
7635,395439628
7089,395946502
7523,395519396
7396,395550960
7512,395449217
7266,395741145
7635,395633639
10096,395401473
8226,395737592
8650,395676878
7178,396231782
7549,396303959
7465,395790742
7886,395690101
7524,395641581
8235,395626809
7044,395789072
7401,395967674
8207,395707883
8745,395892442
8029,395687184
8982,395806366
7777,397233202
7959,395731029
8036,395615829
7545,395836317
7605,395621471
7830,395733571
6976,395839081
7878,395752971
7458,395708544
7704,395773323
8175,395935274
9176,395966826
8177,396060407
8379,395948422
7759,395702186
7413,395720174
8148,395656676
8838,396740093
8914,395946631
8268,395677970
9059,395672374
7806,395782412
7999,396004812
8220,395777386
7691,395704925
7427,395607065
7766,397181429
8179,396521931
7501,395540861
8420,395785408
8011,396218388
8516,395838637
8766,395801857
7608,395731342
7566,395507738
7503,395816759
7122,395688513
8173,395568624
8262,395845455
7734,396587983
8131,395720332
7423,396981923
8274,395982777
8554,395601620
8722,395899094
7992,395697116
8448,395548351
8383,395936450
7645,395690793
8097,395571379
8299,395633250
7586,395716345
8161,395572366
7591,395727568
7558,395758940
