setup_ns,run_ns
727,16597493
457,16440928
462,15438571
607,15582752
545,16434981
508,15528742
531,15575481
377,15984785
438,15793215
572,15480635
448,15231776
545,15734100
510,15763364
423,16492433
1014,15613605
415,15477127
780,15648755
428,16692016
549,15254257
444,15430362
374,15533898
382,15682714
429,15578872
433,16000928
491,16209619
488,15817837
571,15607581
694,15881358
452,17020810
452,15274126
543,15595277
438,16581934
553,15639705
522,15182550
492,15451184
428,15650117
744,15501333
438,16141138
741,16012112
410,15722812
517,16109078
429,15262187
770,15814266
419,16419387
456,16343870
689,15656907
670,15751121
530,15636865
452,15926714
605,15897991
456,16288261
496,16794934
431,15893420
445,15933959
544,16179808
509,15237530
577,15799239
476,16213072
780,15794046
515,16237511
677,15780389
483,16017883
436,15479345
709,15907768
393,15270623
840,15706530
340,15215802
493,16559687
494,15609984
416,15454321
413,15405022
508,16128548
444,15941045
485,16466484
887,15821004
439,16116701
831,16120988
783,15546991
597,15838913
576,15868320
537,16647408
437,15895792
460,15831458
358,15983636
224,15830157
405,15912005
595,15709621
1125,15405889
555,16139773
366,16013700
542,15754801
759,15264966
442,15787546
441,16011352
472,15826879
427,16100156
365,16722804
606,15470461
206,15725606
341,15960864
498,16576313
584,16075076
427,15572415
557,15918414
472,15851184
482,16181102
914,15381275
456,16161967
713,16080096
975,15299800
767,16101051
