setup_ns,run_ns
1402,453432
401,456748
280,451238
1283,477618
260,450367
1613,456839
4147,449144
1483,577077
491,448403
1864,449855
351,447130
972,457710
2635,447361
1202,565425
481,453993
681,450026
451,448052
1563,575034
1052,587537
861,443193
1222,583710
260,448984
1162,444245
480,449224
721,445557
1683,451378
2024,444936
2254,448913
1162,447160
2816,451177
582,447220
1643,450056
681,453492
942,450677
2766,443583
2995,447301
1563,444415
2134,447791
601,445868
1302,447582
1563,445827
1873,450777
260,444996
942,504019
701,452170
1934,452189
1443,444705
281,444124
481,532462
301,452881
3045,446829
1162,452982
451,450997
1042,452831
371,444956
2024,447751
1813,446179
831,446289
871,471537
1883,452661
2935,445287
2204,446028
2986,447461
4058,446529
2685,450326
490,444595
882,448473
1112,446920
2655,447551
1153,444354
641,450126
1042,445307
1523,448823
391,467780
281,455486
971,445607
290,447220
4478,444034
220,449345
2796,443894
3687,447230
240,456057
2455,526170
1452,447361
841,645307
632,447370
1202,585413
1432,575063
822,443022
531,455296
1462,577208
1363,449113
961,453692
2525,443273
1352,451068
531,449354
4138,449314
2395,449094
1212,448582
921,571626
241,767599
240,454554
912,452770
741,444696
1283,444234
551,443924
561,573971
1182,576626
1102,572659
1463,577177
561,445818
250,449745
1122,582557
1183,587537
180,446499
1904,450306
1193,603507
1082,489030
592,449324
711,462009
601,445848
1683,449925
672,444946
1122,450467
1202,448643
3587,448162
581,446569
