setup_ns,run_ns
420,490072
1373,304278
5070,305321
1262,298017
1092,304418
2565,297706
811,299730
721,312404
2565,302956
1252,299850
712,374141
611,300952
721,296634
1753,309739
972,296053
3276,297085
792,339375
581,300271
17213,289701
501,300852
851,301634
3928,296153
581,310972
852,299930
2325,297796
1072,304168
631,297476
3427,296934
281,338083
3456,297145
782,297736
2595,301563
1332,298598
1744,296884
1143,308997
4419,302345
2735,297636
3606,298136
481,304018
3937,298337
3106,299440
661,299339
4118,296594
1202,321552
2665,297495
2976,311802
1042,309298
621,300592
662,297515
3366,295202
1012,308046
1072,299008
1563,298217
2134,299409
841,315640
1643,296003
2485,299950
972,302936
2215,296734
3286,298608
4208,295311
2946,296284
1152,302826
2856,297566
1222,297757
1452,301533
2685,296655
881,297435
3466,297786
260,325790
2003,297707
1032,439686
1413,303186
1262,298637
1162,302215
3146,297225
1042,297726
3587,301273
1442,301944
2856,297285
631,302526
2114,299129
1212,297746
1362,300811
2495,296824
1744,297646
1654,302344
3457,296343
1883,296855
3867,298708
2966,297766
3687,295292
3277,336489
3095,295531
3126,295862
2194,299790
2214,297706
2905,297075
1603,296934
3246,299680
1293,296944
