setup_ns,run_ns
7413,84031604
7734,84126427
7561,83980767
7316,84012499
7118,84048775
7933,83794070
9067,83792701
7489,83775166
8113,83821419
7332,84032112
7751,84018633
7012,83948129
7760,84063226
8444,83970343
7118,83928079
7060,83878402
7633,83952951
7529,83961157
7412,83951213
8666,83984696
8006,83887433
7873,83905059
7566,83954137
7628,83884555
7712,83971973
8171,84039106
11182,83951596
9327,83937590
8072,83991774
8566,83955013
7483,83946195
8165,83915664
8143,83984257
7980,83933112
7722,83948437
11410,83907760
7668,83948061
8381,83980117
8047,84017991
8402,83934396
8670,83903597
7542,84058845
8933,83986735
8664,83988090
7789,83902243
7581,83922662
7447,83935884
7409,83917070
8125,83926593
7969,83909414
7967,84012895
7917,84071629
10991,84003962
7757,83952235
8350,84021254
7477,84043428
8169,83952533
7745,84018022
7579,84032472
7494,84071296
7890,84076319
7885,84005663
7243,83959517
7510,84004828
8041,83981086
7131,84049159
7556,84020202
8267,84056101
7947,83998709
7300,84056591
7224,84012714
7571,84074386
7809,84107355
7606,84013236
7676,84084480
7264,84075942
7621,84062814
7794,84025384
7946,84080667
7689,84072176
8494,84027000
7711,84017621
7981,83999498
7138,83976863
7959,84075317
7412,84057267
7666,84005943
7262,84073866
7320,84067207
7676,84026618
6849,84050342
8347,84024801
7754,84022591
8148,84030466
7845,84040892
7756,84090521
7757,84054808
7993,84003511
7570,84104633
9576,84060824
8980,84087702
8888,84058844
7932,84122876
7867,84026676
7683,84078590
7997,84053419
7406,84058798
6914,84023180
7587,84092595
8785,84055274
8013,84037560
7545,83969625
7399,84047965
