setup_ns,run_ns,peak_mem
480,41458539,0
1233,41442839,0
471,41473688,0
511,41472696,0
420,41493346,0
651,41501521,0
451,40113211,0
420,35864533,0
491,35711692,0
461,35829907,0
471,35873540,0
852,35853902,0
751,35836870,0
501,35898708,0
741,35937331,0
531,35822042,0
501,35898858,0
451,35842340,0
471,35909198,0
601,35893558,0
611,35925880,0
571,35899539,0
731,35922072,0
661,35946769,0
551,35944004,0
661,35966056,0
611,35930789,0
511,36290703,0
561,37949016,0
1022,37674554,0
621,37295604,0
851,36919198,0
631,36627753,0
531,36387227,0
521,36170615,0
702,36124817,0
521,35873500,0
531,35901683,0
470,35961977,0
902,35920078,0
561,36019107,0
411,35990261,0
591,36057820,0
801,35959694,0
591,36020790,0
541,35988849,0
701,36013336,0
862,35961487,0
501,35994771,0
621,36005611,0
592,35989249,0
471,35966637,0
471,35998077,0
592,35981184,0
541,35999900,0
531,36009929,0
661,36012945,0
821,36025329,0
811,35997405,0
732,36008977,0
561,35993448,0
450,36001673,0
591,36030568,0
511,36008657,0
621,35993297,0
692,35964863,0
541,36049204,0
531,35964773,0
802,36001423,0
732,36045977,0
581,35998718,0
521,36108186,0
601,35982527,0
581,36027623,0
581,36036309,0
842,35977337,0
541,36009007,0
501,36074272,0
551,35985783,0
772,35986364,0
601,36047070,0
911,35985162,0
691,36030277,0
591,36006412,0
531,36150757,0
621,36101333,0
541,36003296,0
551,36017273,0
912,36001663,0
531,35980954,0
791,36046078,0
661,36043283,0
691,35964804,0
592,36010510,0
561,36005451,0
521,36034476,0
982,49885522,0
1022,36008937,0
501,35997535,0
781,36059524,0
591,36022563,0
511,36031169,0
551,36034115,0
641,35979872,0
490,36029426,0
531,36036239,0
571,35987386,0
712,36070013,0
541,36016462,0
581,35989000,0
581,36050556,0
541,36051038,0
581,36041760,0
592,36029656,0
902,36025098,0
591,36015690,0
772,36003897,0
661,36063902,0
772,36294109,0
771,37603078,0
501,37179082,0
821,36890003,0
551,36851119,0
551,36331441,0
662,36129877,0
742,35972227,0
531,35977849,0
471,35985964,0
421,36026430,0
751,36041860,0
521,35986104,0
741,36008868,0
672,36017052,0
822,35984070,0
601,35977067,0
581,36035277,0
862,36025068,0
541,35999559,0
601,36028975,0
941,35995391,0
591,36013356,0
601,35998237,0
781,36032994,0
651,36037712,0
761,35976326,0
601,35988248,0
831,36013747,0
591,36013145,0
611,36016241,0
861,36017153,0
841,36007695,0
491,35991103,0
401,36040287,0
511,36008988,0
411,36024437,0
801,35992176,0
591,36032842,0
852,36012965,0
591,35991203,0
831,36022694,0
762,36042631,0
621,35997295,0
571,35985372,0
842,36050627,0
601,36034717,0
882,36005691,0
561,36099119,0
491,36058942,0
702,36080112,0
521,35990993,0
872,36035067,0
501,36044294,0
781,36041790,0
541,36073540,0
581,36003828,0
901,36028845,0
551,36026019,0
491,36039836,0
