setup_ns,run_ns
7547,102269069
8533,101919095
8577,101786853
7500,101933717
8139,101782205
7507,101834483
7650,103884232
12100,101839188
9153,101836386
7813,102061344
8028,102111731
8051,102087100
7417,102127103
8286,102074647
7824,101944650
8421,102019266
7177,102109533
7358,102100902
7739,102118705
7973,102108507
8385,101980917
7512,102003016
7698,102035845
8343,102094489
8517,102065994
8158,102090319
7691,102015553
7770,101992990
7652,101987824
8610,102047067
8384,102055088
8295,102054595
7758,101993349
7017,102087465
7996,101983733
9951,102040264
7945,102055992
8145,102024355
7702,102119364
8185,102030331
7788,102036443
8200,102068520
7767,102040967
8181,101997062
8296,102013205
7608,101939344
7758,101932514
10667,101876768
7885,101996694
9877,101898678
8564,101894864
7705,101912794
8357,101858215
8997,101857713
8176,101854599
8071,101946792
8427,101846963
8127,101871810
7643,101904975
8031,101892699
7717,101980695
8090,102036846
7620,101937637
8953,101918431
8782,101881890
7874,101941966
8572,102081993
7614,102048620
8727,102021992
8834,101945299
8048,102038222
8581,101797997
8645,101899636
8583,101871526
7704,101848179
8147,101921292
8214,101875101
8138,101852754
8774,101912294
7971,101838062
8118,101879194
7995,101897449
8676,101988605
9729,101855237
8615,101922420
7508,101819837
8220,101807127
8309,101951753
9322,101881439
7786,101895442
7750,101852512
7773,101962433
8208,101897299
8543,101886699
7634,101874912
7879,101877571
8644,101864100
7903,101866079
8372,101837853
8016,101881841
8272,101877804
7849,101875562
