setup_ns,run_ns
540,6835244
423,6851399
543,7126680
386,7015278
462,6999538
367,7152210
374,7029502
323,6989979
284,6810853
292,7075610
445,7135384
449,7077517
378,6906078
441,7067534
2044,7082520
464,6778368
1536,7048422
362,6565954
202,7054201
375,6997730
392,7131138
523,6789746
393,7119651
376,7061066
1440,6972779
380,7026291
474,7033411
219,7109637
208,6736030
216,7149677
376,6888231
366,7120368
267,7162294
364,7088481
1952,6887545
418,6856327
431,7007759
1309,7114575
473,7104809
204,7090956
479,6580817
453,7098797
212,6998137
223,6945511
203,6940296
382,6804022
436,7100019
472,7142262
507,6859316
197,6944805
222,6995116
210,6930533
190,7030562
385,7081656
497,7036682
284,6867891
447,6976809
4741,6969209
4201,6872288
1388,7080998
891,6820455
439,7076994
360,6991304
1247,7133589
379,7057782
378,6930282
210,6622549
372,7071906
1435,7015943
359,7058594
503,7100783
252,7122301
280,6980948
379,6874987
364,7156523
373,7162840
312,6599183
229,7150598
374,7135183
209,7157848
228,7020708
216,7143765
212,7134128
368,7109381
446,7145399
374,7051093
370,7034633
354,7051345
366,7046305
362,7165314
363,7133573
380,6994034
374,6687023
469,6973340
438,6535553
375,6902885
359,6987241
438,7029608
611,6999078
239,6863487
280,6779108
366,7040839
367,7122058
385,6820193
370,6978692
359,6895787
577,7176238
384,7127019
285,7055992
369,7047639
363,7080484
