setup_ns,run_ns
8563,157559067
7781,157636476
9278,157740514
7816,157694091
8304,157622684
7852,157526459
14412,157660964
7667,157716407
8034,157491068
10578,157538545
7031,157637428
8827,157659016
7503,157566126
7430,157622184
7624,157517117
7159,157672183
7744,157699204
7931,157315292
9022,157509221
8155,157389295
8729,157527163
8084,157388361
7389,157492449
7654,157427552
7985,157301493
7053,157235745
7512,157563073
7442,157326925
7733,157468682
7961,157497999
7435,157588310
7143,157441487
8135,157548228
7262,157431458
7702,157460832
8192,157206719
7567,157396616
7706,157321819
7543,157389459
7397,157362948
7135,157485142
7654,157301064
7479,157607431
7335,157582744
7777,157371231
7507,157364461
7297,157491439
7393,157556468
6881,157582082
7385,157615348
6589,157405178
7248,157518378
7534,157505712
7191,157719798
8652,157379722
7610,157419111
7654,157450779
7247,157511834
7603,157608364
6812,157480303
7385,157371025
7166,157524615
7242,157596855
7486,157613037
7795,157403467
7715,157455712
7475,157532469
8064,157563136
7665,157463383
7216,157422393
7983,157546941
7403,157381896
7305,157526191
7958,157572362
7518,157555439
7577,157351711
7575,157473316
7512,157399232
7237,157371927
6989,157400532
8396,157299527
7271,157363883
7967,157334728
7538,157383233
8133,157498039
6946,157254132
7715,157374472
7056,157496521
7107,157293857
7288,157533893
8696,157321735
7519,157276819
7887,157525906
7453,157512876
7447,157561761
7556,157484593
7381,157476041
7263,157348435
7692,157602817
7127,157457761
7333,157499241
7452,157486589
9189,157499581
6942,157308150
7581,157190089
8187,157697905
7299,157227075
8147,157354688
7532,157411671
7321,157420544
7435,157734237
7817,157541483
7360,157498235
7247,157352407
7648,157514034
7978,157376294
6996,157334836
8325,157415676
7655,157348383
7506,157425452
7433,157286685
7732,157474031
7230,157393564
7712,157299005
7330,157407510
7331,157260521
7755,157449342
7718,157498863
7781,157478152
8051,157303005
9005,157467935
8909,157419101
7088,157575949
7668,157319765
7340,157367583
8475,157381602
