setup_ns,run_ns
1176,10978897
1404,10969416
1140,10944490
1159,10976809
1026,10962607
1311,11021263
952,10971830
828,10987659
1019,10976786
937,10954112
794,10934286
1437,10941727
981,10962117
1165,10828331
2775,10934243
1234,10828667
1090,10964333
970,11009715
1246,10965066
1107,11014750
1217,11011637
2235,10923363
1214,10987931
1369,10939803
1067,11014689
1821,11028189
776,11015879
781,10962677
1025,10889701
1232,10954295
2160,10998020
947,10920577
800,11041443
1115,10913676
1455,10952936
923,10986652
1394,10942317
1284,10963512
1328,11032026
1195,10945759
994,10991072
885,10979163
1233,11026864
1778,10969899
1043,11002447
2023,10961459
857,10912220
1100,10946576
759,10939653
1185,10882941
1527,10960285
1013,10899484
1369,10994284
1591,10974240
1527,11004852
1030,10896818
1401,10903607
1911,10939817
1739,10976820
1822,10946156
1102,10949829
1174,10993969
926,10912773
1246,10929603
854,10916041
843,10921567
1262,10955463
980,10856743
1291,10903268
813,10955578
1010,10938155
1103,10956202
1500,10929214
1105,10998312
1563,10950997
1068,10994875
859,10970102
1198,10985925
1558,11010868
1508,10927023
1349,10999481
799,10880080
1313,11017376
1312,10855576
818,10847139
1216,10874122
817,10888222
812,10960557
1447,10931312
999,10976098
757,10914655
877,10943704
2072,10900571
944,10984045
1793,10946570
1207,11027068
804,10922232
938,10972665
1738,10928957
1097,10918365
1571,10963847
703,10969348
1068,10895956
1266,10878288
872,10974977
1069,10872771
869,10981836
2733,10930842
1470,10917995
1480,10972344
1261,10929528
948,11035614
936,10926368
858,10907580
1136,10937976
923,10875018
2257,10983756
878,10846205
1340,10973315
969,10955325
1060,10986926
797,10889264
1240,10946841
980,11011369
1184,11003357
2031,10808403
1454,10989917
3542,10975577
1655,10895342
1221,10985918
818,10980986
1009,10968751
1038,10942878
3648,10987746
2760,10869619
929,10988242
1255,10906054
1118,10949558
1126,10940700
957,10935532
780,10974200
1021,10991378
2312,10987296
752,10875622
828,10963667
1265,10916196
1056,10910576
1072,10964692
1065,11003919
1050,10931087
916,10881614
945,10986359
1135,10927646
1382,10938053
