setup_ns,run_ns,peak_mem
59483,95448625,0
61387,96058915,0
60214,96244117,0
61637,96225311,0
77567,96152573,0
62779,96378593,0
62829,96243086,0
62849,96127776,0
61457,96277701,0
62639,96188712,0
65705,96331092,0
59944,95975737,0
62198,95910513,0
61637,96134419,0
66356,96217206,0
71075,96171359,0
61958,96157262,0
59623,96283803,0
59493,96121364,0
62939,96154326,0
60605,96089914,0
61517,95973222,0
61156,96202128,0
62549,95961270,0
63000,96143195,0
61176,96122095,0
65635,96373433,0
60185,96486137,0
80764,96243856,0
77447,96157062,0
83128,96019089,0
79602,96356100,0
76185,96309762,0
78279,96207167,0
74011,96351040,0
83309,96294122,0
74161,96225993,0
75383,96199652,0
