setup_ns,run_ns
882,150283456
751,149376622
882,149365199
732,149220695
822,149184626
821,149076712
672,149049890
821,149312079
802,149237897
651,149240082
711,149213692
531,149222338
722,148932727
561,149174077
922,149331706
611,148469557
721,148352094
471,148142856
521,148114822
381,147983102
360,148183744
381,148146683
341,148166871
441,148105875
441,148121745
421,148133218
641,148130432
431,148160218
871,148006236
812,147980176
430,147948125
441,148036103
351,148011516
381,147985697
341,148093752
351,147986939
411,148134660
531,148031293
330,147994624
601,148011967
321,148081088
351,148184665
681,148013399
341,148044359
331,148073794
351,148020573
360,148052393
410,147995506
672,148091267
421,148150901
671,148005504
450,148059427
360,148026134
320,147942575
341,148021004
792,148104352
351,148123228
521,147984124
551,148191949
351,148039109
361,148009642
320,148132266
771,148175708
521,148071229
591,147960770
421,148126725
521,148084615
491,148094904
441,148121925
451,148213620
551,148764327
632,148854699
601,148468585
621,148280167
691,148322467
592,148426134
681,149103703
1212,149086951
651,148432938
651,148541804
411,148204282
491,148284295
551,148186789
380,148338268
421,148145521
420,148170428
471,149440232
1393,149694826
821,148931214
982,148952405
601,148475789
812,148311185
841,148381931
792,148301648
771,148361562
641,148285968
541,148294504
511,148229191
571,148170538
652,148147224
380,148265700
391,148148086
420,148144980
691,148171420
411,148119271
