setup_ns,run_ns
1663,353697949
1352,356655002
1342,356519545
1523,356252807
1233,364722181
1363,356443560
1112,354796328
1133,356783566
1473,352600853
1252,361568234
1473,356530115
1102,356969561
1132,357268419
1142,357141057
1213,357220337
1002,357279189
1072,357175041
1142,356608043
1493,360694994
1683,362294565
1343,357198576
1062,365648362
1292,353254226
1563,351953923
1192,355565521
1493,354057864
1442,357136658
1253,357490771
1262,352810102
1132,352636161
1202,352560527
1714,352586586
1102,352476167
1252,361165679
1483,357460244
1332,349264391
1463,332724892
1363,332722288
911,332713381
1102,332800777
1092,331688592
1092,332801899
1042,332708101
1092,332909323
921,332894835
1192,332879046
952,332706898
1132,332783804
1072,337157761
1012,336561738
1362,333029792
1603,345331062
1263,339440471
1112,337608228
1392,332763677
1112,332664828
1292,332499183
1573,333039510
1082,333175619
1232,331412968
962,331904012
1113,331956681
1243,331902308
1022,331438557
952,341339332
942,331532235
1283,331582170
912,331918960
1373,332124230
1382,332188092
1663,332204804
1152,332615064
1273,332098872
1583,332146262
1272,332413271
