setup_ns,run_ns
2945,213568635
2866,209044532
2094,208651255
2355,209055904
1914,209443140
2454,210743994
2084,212276968
1954,211373711
2024,209624314
2104,213596357
2505,210290010
1974,209294548
2034,211384110
2044,210895812
1913,211680364
1903,211847231
2966,212280846
2224,211892077
2424,210218705
2104,210915369
1783,211047791
1683,210638733
2304,209123342
1744,213024279
1934,209238070
1763,209800249
2114,209586502
1753,207247045
1954,211820180
2324,210411461
1944,209208503
1924,211613797
1693,207677663
2265,216441607
1804,221631936
1723,221402170
1743,221245512
1783,221810887
1203,221554729
1843,222198013
2355,221338629
1884,221422088
1913,221848438
1583,220971200
1894,221694194
1943,221289135
2024,221184856
1854,221487041
1643,221209744
1462,221361984
1743,221267634
2064,221472663
1463,221435443
1423,221473405
2535,221961173
1774,218600762
1543,217977888
1953,218033164
1763,218198248
2124,217765525
1513,219112325
1743,218472930
1804,218344946
1694,218199369
1773,218676858
1433,218731882
1542,218574503
1403,218166256
2124,218178801
2445,217960685
1553,218101233
2365,218116652
1963,218191736
1833,218702547
1863,218046198
1442,218822976
1182,218831061
1734,218475164
1603,218689421
1433,217995151
1433,218284111
1573,217732181
1573,218421252
1523,218177688
1523,218438785
1764,218436490
2043,217759903
1192,218729467
1724,218324397
1473,218660476
1512,218023115
1353,218557140
1332,218168421
1863,218897257
2104,219160177
2044,218722394
1874,218735319
