setup_ns,run_ns,peak_mem
54,40997,0
39,41252,0
37,42252,0
40,42295,0
47,40770,0
43,41414,0
43,40968,0
46,41175,0
42,40593,0
48,40838,0
43,40463,0
43,40489,0
42,40974,0
46,41199,0
39,40833,0
43,40502,0
46,40444,0
44,40547,0
45,43920,0
44,40516,0
43,40170,0
42,40374,0
40,40161,0
39,40387,0
43,40150,0
43,40477,0
44,40567,0
43,40619,0
43,40277,0
40,40989,0
39,40425,0
43,40573,0
40,40191,0
43,40154,0
43,40579,0
44,40823,0
46,40820,0
47,40538,0
44,40402,0
40,40414,0
39,40366,0
43,43884,0
43,40222,0
43,40377,0
43,40229,0
47,40151,0
44,40768,0
43,40230,0
39,40033,0
43,40540,0
40,40290,0
43,40555,0
40,40277,0
38,40588,0
43,40266,0
43,40267,0
49,40584,0
43,40596,0
41,40143,0
48,40306,0
42,40065,0
44,40672,0
43,40282,0
44,40405,0
46,47400,0
42,40796,0
43,40137,0
39,40282,0
46,40544,0
41,40175,0
39,40917,0
41,40323,0
47,39986,0
44,40533,0
45,40199,0
49,40567,0
43,40180,0
45,40115,0
40,40431,0
39,40199,0
40,40613,0
47,40185,0
41,40052,0
43,40185,0
45,40785,0
41,40306,0
43,40005,0
41,44054,0
44,39985,0
40,40017,0
47,40009,0
40,40274,0
46,40646,0
40,39997,0
43,39903,0
45,40128,0
40,40467,0
40,40079,0
42,39975,0
43,40013,0
39,40426,0
41,40486,0
43,40093,0
41,40137,0
42,40963,0
43,40151,0
41,40495,0
