setup_ns,run_ns,peak_mem
182,676870,0
171,625798,0
225,1008526,0
98,599714,0
159,679514,0
204,658301,0
130,667835,0
280,612501,0
1525,635685,0
251,695860,0
159,707303,0
420,645861,0
193,768422,0
277,718490,0
204,694172,0
176,636194,0
265,666367,0
93,684261,0
231,659072,0
286,712475,0
149,646757,0
247,678421,0
222,603790,0
353,643465,0
155,691075,0
135,694073,0
177,713171,0
175,639104,0
133,733434,0
164,677744,0
243,673052,0
158,678024,0
637,636971,0
161,665953,0
80,616424,0
198,693144,0
241,638138,0
189,663920,0
155,697319,0
536,687076,0
141,782808,0
118,701385,0
216,647319,0
159,652479,0
143,673316,0
222,689347,0
166,676953,0
259,626509,0
250,679279,0
183,685907,0
150,659019,0
166,680507,0
288,616462,0
180,696439,0
136,683995,0
270,683942,0
201,710067,0
267,666143,0
133,704377,0
329,647611,0
143,608149,0
192,637322,0
161,694225,0
228,658241,0
206,703349,0
237,688315,0
177,601886,0
253,691335,0
148,714687,0
180,644074,0
274,692693,0
339,611716,0
139,611344,0
345,652608,0
266,632520,0
270,699642,0
166,608664,0
242,678714,0
151,698779,0
133,629231,0
264,667423,0
286,660719,0
1496,663185,0
497,596992,0
118,633806,0
96,661931,0
201,627894,0
776,657490,0
196,656207,0
194,677385,0
144,674342,0
280,661931,0
113,689171,0
110,703126,0
185,634653,0
966,651769,0
183,677419,0
149,694445,0
237,683559,0
164,649729,0
210,678248,0
284,689274,0
273,672235,0
212,657025,0
107,671924,0
183,649576,0
159,682479,0
