setup_ns,run_ns,peak_mem
46,50578,0
44,50562,0
40,49986,0
41,50153,0
40,50644,0
40,49798,0
39,49990,0
39,49732,0
41,49382,0
40,49831,0
39,49831,0
40,50280,0
39,50244,0
36,49693,0
36,49781,0
37,49424,0
36,49596,0
36,49845,0
38,49759,0
38,49332,0
38,49372,0
36,49530,0
36,66294,0
36,49652,0
37,49182,0
36,49234,0
36,49350,0
36,49204,0
36,49261,0
38,49672,0
37,49952,0
39,49270,0
41,49635,0
40,49437,0
37,49308,0
36,49520,0
36,49834,0
36,49598,0
40,49173,0
41,49256,0
40,49127,0
41,52952,0
39,49783,0
41,49782,0
40,49571,0
43,49519,0
40,49200,0
39,49405,0
40,49200,0
39,49570,0
41,49248,0
41,49162,0
39,49332,0
44,49370,0
41,49206,0
41,49278,0
44,48833,0
44,49105,0
43,49859,0
39,49720,0
41,52081,0
40,50249,0
40,49414,0
39,49366,0
41,49217,0
39,49356,0
36,49483,0
41,49414,0
43,49374,0
41,50691,0
40,49071,0
38,49002,0
40,49084,0
38,49201,0
44,49036,0
37,49175,0
36,48990,0
39,49067,0
39,49123,0
37,53496,0
41,49741,0
44,50521,0
38,49916,0
39,49757,0
38,49781,0
40,49434,0
41,49502,0
39,49591,0
36,49466,0
42,49727,0
44,49395,0
36,49492,0
40,49561,0
38,49474,0
38,49291,0
44,49411,0
44,49462,0
38,49129,0
43,52351,0
40,49304,0
40,49143,0
36,49529,0
41,50039,0
40,49209,0
39,49278,0
40,49058,0
44,48787,0
