setup_ns,run_ns,peak_mem
85,1960379,0
137,1959742,0
132,1961470,0
137,1959157,0
137,1955259,0
139,1973590,0
135,1961144,0
138,1965319,0
136,1964187,0
132,1961309,0
128,1961298,0
127,1959498,0
86,1961467,0
134,1961327,0
135,1963054,0
133,1962688,0
132,1958713,0
131,1962178,0
139,1962514,0
172,1978809,0
127,1977591,0
130,1960246,0
133,1961876,0
133,1961376,0
134,1963632,0
140,1959785,0
134,1966262,0
132,1962038,0
133,1962503,0
134,1956280,0
132,1964082,0
135,1958160,0
130,1961638,0
130,1959381,0
126,1962510,0
137,1956527,0
126,1963564,0
131,1967194,0
136,1959385,0
139,1961359,0
122,1961407,0
137,1959716,0
133,1959531,0
135,1959476,0
91,1960433,0
126,1972314,0
137,1962522,0
131,1962640,0
125,1964518,0
136,1961210,0
134,1965887,0
131,1958883,0
135,1960491,0
125,1963596,0
132,1964205,0
133,1958288,0
83,1962241,0
142,1957119,0
127,1962480,0
131,1957715,0
132,1960628,0
133,1959423,0
139,1958033,0
135,1959652,0
129,1963087,0
154,1957549,0
85,1955596,0
143,1961858,0
121,1964566,0
126,1961371,0
89,1971479,0
136,1962973,0
139,1961173,0
137,1962462,0
87,1960246,0
128,1963246,0
131,1960125,0
138,1960527,0
132,1958712,0
133,1960107,0
132,1961436,0
141,1964362,0
143,1957927,0
131,1961826,0
88,1962122,0
140,1958576,0
137,1960878,0
129,1961526,0
139,1958818,0
129,1967639,0
128,1958086,0
134,1961355,0
129,1958968,0
139,1960283,0
181,1957550,0
134,1959396,0
135,1969393,0
129,1960749,0
129,1957309,0
135,1964488,0
128,1957121,0
137,1964265,0
132,1960809,0
135,1966267,0
89,1962385,0
131,1965456,0
138,1959668,0
