setup_ns,run_ns,peak_mem
140,916954,0
221,815290,0
211,800211,0
160,867530,0
211,747431,0
200,798118,0
191,741179,0
191,737081,0
190,748884,0
40,714639,0
151,688028,0
81,748934,0
230,661959,0
160,883851,0
140,687187,0
150,820490,0
40,858323,0
320,869584,0
190,813136,0
190,748073,0
100,622604,0
210,819027,0
190,813337,0
231,916833,0
190,788249,0
200,854415,0
80,876637,0
60,690393,0
50,902656,0
170,734657,0
301,740818,0
130,843715,0
410,790944,0
200,787959,0
200,671708,0
81,746279,0
200,882308,0
181,669273,0
150,787187,0
171,639656,0
191,789090,0
191,694590,0
50,803197,0
140,875385,0
300,696685,0
60,780545,0
1172,714238,0
151,779161,0
50,810141,0
201,740438,0
50,834066,0
61,703888,0
60,811323,0
50,684141,0
90,731671,0
31,662189,0
20,776967,0
220,689070,0
1363,712836,0
130,799009,0
71,724958,0
191,774262,0
211,861969,0
180,712445,0
50,909559,0
221,850046,0
201,808277,0
40,797336,0
100,773221,0
100,739967,0
190,716212,0
130,750457,0
181,693128,0
221,832443,0
190,827824,0
40,846199,0
210,853523,0
341,828725,0
40,634877,0
70,775325,0
441,797847,0
50,733574,0
241,1047231,0
40,835008,0
90,814519,0
110,748513,0
150,844597,0
70,865436,0
60,779071,0
90,737342,0
50,841540,0
180,712695,0
161,891686,0
171,767549,0
61,760405,0
221,691695,0
130,707726,0
170,728215,0
211,729998,0
140,892758,0
100,753913,0
190,807065,0
90,728185,0
150,899751,0
50,743764,0
50,746450,0
80,842021,0
60,866077,0
80,780284,0
201,818937,0
60,716041,0
211,709329,0
180,800432,0
80,753243,0
190,701204,0
160,833976,0
220,589541,0
190,717495,0
140,819358,0
80,699640,0
191,903107,0
411,849315,0
211,674983,0
361,816553,0
181,755677,0
120,801504,0
221,758342,0
191,805311,0
140,687838,0
210,777408,0
271,758783,0
140,838154,0
40,814499,0
121,735749,0
181,668892,0
80,733796,0
40,966828,0
50,841730,0
200,784541,0
61,774272,0
150,816854,0
200,775755,0
40,892728,0
180,785163,0
211,842862,0
191,723315,0
50,727674,0
181,738854,0
210,825740,0
150,904070,0
50,742753,0
240,825029,0
221,847712,0
200,706483,0
201,757961,0
220,869704,0
60,790744,0
160,725820,0
70,856879,0
200,776217,0
90,914469,0
50,834106,0
60,686796,0
30,780985,0
180,960707,0
150,864063,0
50,911072,0
210,877860,0
150,917945,0
280,771137,0
210,857791,0
130,845909,0
80,767089,0
80,644726,0
60,787217,0
211,643223,0
50,727704,0
220,623747,0
200,757671,0
220,807075,0
50,860356,0
120,864544,0
230,817274,0
40,809650,0
230,809239,0
140,731451,0
60,741981,0
50,812225,0
70,1104109,0
341,880063,0
141,742882,0
160,850718,0
461,720520,0
180,825089,0
201,695713,0
200,809319,0
51,845097,0
191,902616,0
161,926541,0
40,854865,0
40,829798,0
181,694550,0
200,783580,0
70,736320,0
201,881796,0
150,720390,0
50,858162,0
101,904520,0
190,840298,0
40,798328,0
40,674903,0
180,799110,0
160,583379,0
130,696204,0
150,678690,0
200,790533,0
70,802536,0
190,837683,0
190,799760,0
40,836972,0
180,718977,0
171,688229,0
111,831370,0
