setup_ns,run_ns,peak_mem
51,4237587,24576
42,4655313,24576
44,4081901,24576
44,4534381,24576
43,4337133,24576
41,4086750,24576
44,4229348,24576
44,4388573,24576
43,4331711,24576
40,4054462,24576
45,4072326,24576
41,4045936,24576
45,4060194,24576
48,4217921,24576
43,4163983,24576
44,3972326,24576
43,4584160,24576
44,4084718,24576
39,4044889,24576
47,3961054,24576
44,3985464,24576
43,4246496,24576
45,4207150,24576
45,3990983,24576
42,4070867,24576
45,3913678,24576
42,4014508,24576
43,4274153,24576
48,4159436,24576
43,4211391,24576
40,4092212,24576
43,4462741,24576
44,4044155,24576
44,4387715,24576
46,4272083,24576
45,3924196,24576
43,4058590,24576
41,4007331,24576
44,3917420,24576
42,3972158,24576
44,3906094,24576
40,4230087,24576
44,4248130,24576
39,4839766,24576
44,4930123,24576
42,4231598,24576
44,4001092,24576
44,4068760,24576
41,3951181,24576
42,4028910,24576
43,4199292,24576
40,5467576,24576
40,4136423,24576
43,4098776,24576
39,4355046,24576
41,3895624,24576
44,3959983,24576
47,4393107,24576
42,4223512,24576
40,4006111,24576
42,4214878,24576
41,3900321,24576
40,4112278,24576
38,4161952,24576
39,4133904,24576
44,3933692,24576
43,3949639,24576
45,4222768,24576
42,4200423,24576
45,4385954,24576
44,4259208,24576
41,5355033,24576
44,4068304,24576
44,4206082,24576
44,3980331,24576
44,4554196,24576
45,4073085,24576
44,3987862,24576
40,4036366,24576
44,4178330,24576
44,4001517,24576
43,3986327,24576
38,3856447,24576
42,3995310,24576
44,3850019,24576
45,3914438,24576
43,4074411,24576
45,4045836,24576
43,4048780,24576
41,4032920,24576
44,4105873,24576
44,4045077,24576
49,4073593,24576
47,4134449,24576
44,4036085,24576
45,4048226,24576
40,4078309,24576
44,3983526,24576
39,4108798,24576
43,3945866,24576
46,4023165,24576
41,4015835,24576
44,4047906,24576
42,4355925,24576
