setup_ns,run_ns,peak_mem
46,3554233,16384
44,3429987,16384
44,4195961,16384
44,3820143,16384
44,4333382,16384
45,3500332,16384
41,4182146,16384
43,3724194,16384
41,4213878,16384
45,3446480,16384
41,4188221,16384
43,3559593,16384
45,4322972,16384
40,4270420,16384
40,3673760,16384
39,4215654,16384
43,3445807,16384
48,4204838,16384
43,3442308,16384
44,3476059,16384
44,4320873,16384
40,3315104,16384
49,3558105,16384
47,3580893,16384
43,4230224,16384
46,3401925,16384
40,3566138,16384
44,4305160,16384
41,3414384,16384
47,4065808,16384
44,3513607,16384
45,3537507,16384
43,4212665,16384
40,4158129,16384
44,3429480,16384
44,4168700,16384
44,3421469,16384
47,3505457,16384
45,3469095,16384
40,4262898,16384
44,3449471,16384
44,4213713,16384
44,3484433,16384
43,3426089,16384
40,3453601,16384
40,4150464,16384
45,3549825,16384
44,4277755,16384
44,3767634,16384
46,3602755,16384
46,3492174,16384
41,3821947,16384
44,3439656,16384
44,4083551,16384
42,3443413,16384
46,3460355,16384
43,3467854,16384
49,3616804,16384
44,3505567,16384
32,4294980,16384
31,4307163,16384
20,3390800,16384
44,4205828,16384
46,3524701,16384
45,3357989,16384
42,3680972,16384
37,3392951,16384
44,3465023,16384
47,3458475,16384
44,3439892,16384
40,3397234,16384
43,3428440,16384
47,3325669,16384
40,3396026,16384
30,3530289,16384
43,3494402,16384
