setup_ns,run_ns,peak_mem
52,293300346,13201408
41,306870424,13201408
45,306717208,13201408
43,302752713,13201408
44,298185124,13201408
46,312643233,13201408
44,304959549,13201408
44,277975089,13201408
45,323957543,13201408
44,302132430,13201408
44,292066061,13201408
48,302682468,13201408
44,317090044,13201408
45,300117329,13201408
43,294535529,13201408
44,301564336,13201408
44,302218313,13201408
43,305935022,13201408
45,310519874,13201408
44,328520703,13201408
42,317113368,13201408
44,313073072,13201408
44,308529964,13201408
44,312299919,13201408
43,318135737,13201408
44,329546829,13201408
43,311741631,13201408
48,316140884,13201408
45,315873161,13201408
40,334906327,13201408
44,330524149,13201408
43,329044375,13201408
45,315564198,13201408
44,329689357,13201408
46,327761805,13201408
43,309978528,13201408
43,341862967,13201408
44,320019036,13201408
44,313069206,13201408
41,297478645,13201408
44,327833895,13201408
44,307702557,13201408
45,343148150,13201408
45,316982835,13201408
43,322289556,13201408
44,314965791,13201408
44,310305720,13201408
44,305999933,13201408
44,312425841,13201408
48,313926931,13201408
43,314262740,13201408
44,302591807,13201408
44,325786028,13201408
43,311972997,13201408
45,313552246,13201408
42,319451256,13201408
49,317195260,13201408
45,316433707,13201408
43,303942881,13201408
45,320560933,13201408
43,307193148,13201408
43,295483814,13201408
44,311654870,13201408
43,319663869,13201408
43,307943728,13201408
44,314768647,13201408
44,304222646,13201408
45,306593303,13201408
49,313511521,13201408
44,318462146,13201408
44,302218761,13201408
44,305704103,13201408
43,320676668,13201408
44,329268326,13201408
45,315546355,13201408
44,326543483,13201408
43,330512408,13201408
44,328167526,13201408
43,309972650,13201408
44,320893131,13201408
43,316430315,13201408
48,325583149,13201408
43,305919157,13201408
39,310527057,13201408
43,326665284,13201408
45,302199874,13201408
48,306804276,13201408
39,329799173,13201408
47,305483451,13201408
42,303948432,13201408
46,312524849,13201408
44,320315275,13201408
44,328808134,13201408
44,301712566,13201408
44,322142958,13201408
45,319612895,13201408
44,305728249,13201408
44,322014091,13201408
43,309700557,13201408
44,313356687,13201408
43,294963358,13201408
44,313108785,13201408
45,309711972,13201408
43,306534896,13201408
45,323178848,13201408
43,328445042,13201408
41,310515494,13201408
43,326281076,13201408
43,316967033,13201408
45,305104886,13201408
45,300164281,13201408
