setup_ns,run_ns,peak_mem
55,153337,0
40,162854,0
42,210560,0
46,153179,0
103,173827,0
62,185635,0
113,203219,0
30,186379,0
48,189045,0
36,181206,0
30,181734,0
31,173583,0
35,178228,0
35,191035,0
128,183427,0
36,181662,0
33,206587,0
46,177764,0
25,189368,0
47,182854,0
24,180183,0
32,183818,0
40,200216,0
35,160126,0
37,185211,0
64,179513,0
47,182589,0
116,161456,0
52,192905,0
114,178762,0
33,195350,0
35,176262,0
78,197974,0
40,192917,0
36,191682,0
37,194669,0
51,178125,0
28,184327,0
47,179591,0
41,163977,0
45,184793,0
41,191919,0
41,186420,0
125,181272,0
54,181440,0
31,166961,0
44,180171,0
67,182145,0
31,202094,0
39,224341,0
31,184362,0
23,182631,0
34,194825,0
107,181580,0
37,180150,0
67,181841,0
28,184680,0
48,171293,0
34,154691,0
32,204777,0
59,188254,0
37,170937,0
58,183246,0
45,195752,0
30,181913,0
37,182466,0
40,183304,0
32,164837,0
51,193256,0
48,192257,0
41,189794,0
27,187220,0
37,160028,0
29,185126,0
26,176577,0
37,183876,0
40,186618,0
45,182380,0
42,176275,0
33,180117,0
47,178773,0
39,167593,0
58,194351,0
57,177346,0
30,185356,0
48,183885,0
38,191060,0
144,176517,0
33,180258,0
42,188232,0
31,197954,0
50,150569,0
24,182406,0
23,186428,0
34,183107,0
62,173189,0
38,188012,0
24,177975,0
29,178861,0
25,183290,0
40,175798,0
25,191736,0
30,180346,0
29,190637,0
44,203359,0
99,188848,0
88,179945,0
31,203841,0
26,171101,0
31,171781,0
46,180567,0
53,191524,0
70,180490,0
27,166613,0
126,178469,0
29,195270,0
40,187266,0
30,178360,0
