setup_ns,run_ns,peak_mem
95,191463,0
49,188247,0
142,193183,0
104,189230,0
56,222191,0
141,204190,0
29,214157,0
69,186036,0
30,205554,0
175,206618,0
77,200952,0
59,190369,0
151,191239,0
30,201677,0
49,215367,0
85,208780,0
135,204410,0
111,199145,0
158,204693,0
80,201739,0
140,206675,0
137,206363,0
56,196837,0
54,207849,0
58,193799,0
36,196611,0
129,192183,0
38,206222,0
135,188763,0
74,198758,0
63,195717,0
140,186314,0
76,205211,0
50,180765,0
48,190001,0
97,217783,0
37,213042,0
72,199525,0
57,195452,0
75,192694,0
52,203526,0
299,215370,0
40,189244,0
103,194938,0
177,207528,0
42,192715,0
77,197428,0
122,205167,0
86,190696,0
80,195481,0
113,198792,0
68,207248,0
65,188424,0
74,174180,0
69,198834,0
55,187735,0
61,189600,0
57,226400,0
26,201540,0
58,197664,0
108,203375,0
37,193095,0
41,198973,0
62,196115,0
38,184882,0
149,214595,0
80,235792,0
121,190852,0
93,182065,0
145,194077,0
62,214306,0
40,184684,0
77,203355,0
108,203849,0
55,192910,0
69,201798,0
114,215534,0
72,192161,0
38,222336,0
41,200445,0
40,209165,0
34,194785,0
47,209747,0
48,196870,0
169,200271,0
100,193189,0
67,199193,0
86,197816,0
25,193025,0
41,216389,0
153,219053,0
68,195446,0
117,214294,0
139,187398,0
124,214257,0
167,204483,0
80,201234,0
75,224807,0
37,201940,0
124,208287,0
78,194470,0
58,198726,0
98,200190,0
44,195333,0
40,211291,0
34,198254,0
36,193713,0
57,202269,0
54,237658,0
107,195096,0
120,203312,0
33,421456,0
128,180223,0
54,188680,0
88,201522,0
38,199258,0
28,201188,0
71,195227,0
116,201107,0
133,195783,0
43,186683,0
138,207689,0
