setup_ns,run_ns,peak_mem
44,37175,0
31,37485,0
29,37353,0
29,37027,0
30,37433,0
31,42147,0
32,36822,0
31,36996,0
33,36780,0
31,36751,0
30,36720,0
30,36867,0
31,36823,0
29,36662,0
30,36746,0
28,36685,0
29,36707,0
30,36768,0
30,36812,0
29,36886,0
30,36714,0
30,36608,0
30,36760,0
29,36951,0
28,36729,0
30,36760,0
30,36656,0
29,36737,0
28,36856,0
30,36716,0
29,40114,0
30,36770,0
30,36682,0
29,37187,0
29,36924,0
29,37098,0
30,36847,0
29,36801,0
28,36864,0
30,36768,0
30,36862,0
30,36946,0
30,36714,0
28,36728,0
30,37023,0
29,36980,0
32,36763,0
28,36906,0
30,37003,0
30,36883,0
31,36665,0
31,36750,0
30,36815,0
28,36842,0
29,36986,0
31,40078,0
31,36897,0
28,36675,0
30,36793,0
29,37023,0
31,36786,0
33,36668,0
30,36842,0
30,36758,0
31,36815,0
31,36759,0
30,36829,0
31,38753,0
32,41058,0
30,37425,0
29,36730,0
31,36862,0
29,36961,0
31,36889,0
32,36750,0
31,36856,0
30,36681,0
30,36556,0
29,37096,0
29,36669,0
29,45484,0
30,36910,0
29,36684,0
30,36629,0
30,36879,0
31,36844,0
32,36979,0
30,36951,0
29,36795,0
32,36613,0
31,36733,0
30,36810,0
31,36809,0
30,36595,0
28,41993,0
30,37149,0
29,36943,0
29,36966,0
29,36547,0
29,36792,0
30,36689,0
30,36718,0
29,36690,0
28,36882,0
32,57249,0
30,37065,0
30,36659,0
32,36811,0
29,36822,0
30,36844,0
31,36817,0
30,36598,0
30,36741,0
29,36814,0
30,36813,0
