setup_ns,run_ns,peak_mem
107,1955545,0
80,1945829,0
77,1941069,0
86,1939972,0
87,1940191,0
86,1941144,0
81,1951863,0
82,1941507,0
82,1941001,0
82,1941077,0
85,1939328,0
85,1938441,0
85,1938690,0
86,1942703,0
86,1942158,0
85,1941193,0
85,1941362,0
81,1938558,0
87,1942904,0
86,1939231,0
84,1945033,0
80,1949515,0
58,1936543,0
84,1938578,0
81,1938078,0
85,1937690,0
82,1938306,0
79,1941520,0
93,1938486,0
81,1938683,0
82,1941362,0
85,1939998,0
83,1942607,0
80,1946063,0
85,1943574,0
85,1940364,0
80,1939961,0
82,1939047,0
85,1943473,0
86,1940221,0
83,1939223,0
82,1944382,0
82,1938761,0
83,1940925,0
82,1939506,0
86,1939568,0
88,1954457,0
82,1943561,0
83,1945804,0
85,1943082,0
86,1945851,0
57,1940021,0
85,1943521,0
82,1942411,0
59,1940745,0
83,1938325,0
85,1937250,0
84,1939729,0
78,1938977,0
89,1940219,0
83,1940714,0
81,1940467,0
84,1942228,0
78,1941294,0
84,1941256,0
84,1942507,0
82,1942334,0
83,1944641,0
81,1939347,0
83,1941605,0
84,1941961,0
83,1940432,0
81,1950818,0
82,1939204,0
84,1944543,0
80,1941509,0
79,1939872,0
83,1944165,0
59,1940481,0
84,1942866,0
82,1938517,0
81,1937414,0
84,1941089,0
84,1933243,0
87,1943139,0
85,1943678,0
81,1938665,0
79,1939242,0
79,1946456,0
82,1938673,0
87,1940022,0
81,1940996,0
85,1943100,0
82,1941810,0
84,1943136,0
84,1942555,0
56,1936656,0
83,1940680,0
89,1951395,0
87,1942245,0
80,1938424,0
82,1942588,0
80,1936267,0
78,1942938,0
83,1944360,0
81,1939542,0
83,1940916,0
83,1938371,0
84,1936993,0
83,1940364,0
60,1943077,0
85,1941858,0
84,1942168,0
