setup_ns,run_ns,peak_mem
40,152500,0
40,238453,0
20,226832,0
30,123756,0
40,418395,0
40,340076,0
30,308546,0
100,325630,0
30,285683,0
20,142591,0
30,288408,0
40,304158,0
20,296814,0
40,160666,0
30,314448,0
20,359503,0
50,214688,0
40,300872,0
70,301383,0
20,315660,0
90,398828,0
40,467489,0
30,253883,0
20,260095,0
21,325178,0
41,434115,0
20,438234,0
81,426170,0
20,268471,0
30,319377,0
20,321331,0
40,352740,0
20,472949,0
30,280994,0
80,128023,0
71,317213,0
40,132832,0
30,251498,0
30,230187,0
41,174411,0
40,220189,0
40,123705,0
80,148543,0
80,213596,0
30,115399,0
81,149925,0
70,169863,0
30,143523,0
40,285853,0
20,262379,0
20,227392,0
40,280323,0
40,197495,0
20,289430,0
271,267158,0
20,108517,0
20,268480,0
90,254825,0
20,224176,0
20,219708,0
40,152420,0
40,226601,0
20,235909,0
40,127142,0
30,159894,0
100,149084,0
20,265304,0
90,222814,0
30,141900,0
30,312625,0
80,282066,0
81,295171,0
40,164954,0
260,192607,0
40,141129,0
30,273721,0
101,362980,0
30,312885,0
40,160545,0
80,184460,0
30,210280,0
20,279211,0
30,151307,0
30,225729,0
40,306082,0
30,277427,0
40,204269,0
50,187486,0
40,251017,0
40,227763,0
10,219958,0
20,239866,0
20,145236,0
30,294460,0
30,426371,0
20,229076,0
60,196313,0
40,285413,0
100,251869,0
20,198457,0
50,133414,0
90,150586,0
30,119236,0
40,181485,0
20,200452,0
130,135408,0
40,296504,0
90,119968,0
40,157530,0
90,125178,0
80,146509,0
30,261767,0
30,139195,0
40,277237,0
20,317283,0
70,240057,0
40,323556,0
40,129587,0
20,238484,0
30,277117,0
70,229827,0
41,299960,0
80,245296,0
140,325118,0
71,344485,0
60,154885,0
20,154804,0
30,268621,0
120,142501,0
20,117093,0
30,284430,0
30,236330,0
171,286434,0
60,449204,0
31,299219,0
40,134015,0
211,109548,0
20,280364,0
10,306162,0
50,314698,0
30,308316,0
40,179451,0
40,266497,0
20,156086,0
20,255736,0
20,247751,0
181,225929,0
80,324908,0
21,219447,0
40,192486,0
40,133013,0
20,245296,0
40,260866,0
90,88589,0
41,388408,0
30,341490,0
20,336820,0
30,230167,0
80,267890,0
20,265144,0
110,295562,0
121,316401,0
20,281045,0
120,447451,0
70,259203,0
40,235368,0
110,147070,0
40,287446,0
90,231851,0
70,375704,0
20,306242,0
50,308176,0
80,222843,0
90,330949,0
190,306183,0
20,225770,0
20,347180,0
50,304980,0
40,193548,0
30,334906,0
31,266376,0
40,254605,0
91,210460,0
51,217283,0
20,407445,0
30,322063,0
30,416412,0
90,230478,0
40,228685,0
30,165395,0
30,317705,0
20,232212,0
20,249625,0
20,239245,0
30,267699,0
40,238764,0
30,239195,0
20,287567,0
30,303757,0
60,282717,0
30,209288,0
20,269583,0
20,325289,0
40,242330,0
20,250266,0
40,123074,0
30,246950,0
51,220479,0
100,258542,0
30,265615,0
20,269563,0
30,123755,0
120,177267,0
20,158301,0
90,215309,0
100,153883,0
30,252891,0
30,273941,0
40,223535,0
30,233614,0
151,294670,0
40,294400,0
90,292947,0
50,126661,0
40,125118,0
80,285323,0
30,366707,0
40,294199,0
31,318676,0
40,311563,0
40,328405,0
50,395773,0
50,407325,0
40,238294,0
70,324868,0
40,484571,0
30,523205,0
50,109819,0
80,247821,0
20,217063,0
81,150265,0
20,251979,0
130,123585,0
40,139225,0
91,160144,0
40,252019,0
30,233474,0
20,296243,0
40,279491,0
20,254074,0
41,269963,0
30,362479,0
30,301393,0
151,95612,0
21,157960,0
171,125568,0
40,252791,0
40,117674,0
20,212855,0
151,99068,0
30,228384,0
40,120539,0
60,242091,0
30,239716,0
70,305110,0
40,384882,0
50,289431,0
120,235067,0
30,145887,0
40,299599,0
30,128174,0
30,123294,0
30,217173,0
30,129716,0
20,312003,0
30,293849,0
50,127432,0
40,244826,0
70,340227,0
30,191744,0
40,374593,0
20,318395,0
40,320550,0
30,466778,0
20,306363,0
30,403698,0
30,412274,0
20,305431,0
130,236009,0
60,405241,0
40,324648,0
40,201674,0
80,320249,0
70,243072,0
21,246809,0
40,354794,0
30,305070,0
20,570666,0
40,368912,0
10,304950,0
40,231280,0
40,127152,0
30,260816,0
40,255666,0
30,154113,0
151,240367,0
40,268290,0
70,222032,0
31,210229,0
120,218826,0
311,373110,0
50,228144,0
40,202906,0
41,324166,0
30,142241,0
130,153552,0
50,126310,0
41,111231,0
70,234226,0
100,114638,0
20,280503,0
40,227924,0
30,327743,0
20,156408,0
30,167458,0
40,194279,0
110,155545,0
20,205260,0
20,222854,0
40,275204,0
110,235959,0
