setup_ns,run_ns,peak_mem
837816,385870648,1780482048
835784,428911436,1780482048
1714648,311316124,1780482048
366306,391695080,1780482048
941647,367573584,1780482048
735823,417238908,1780482048
851552,338664965,1780482048
925568,381643152,1780482048
880546,374590786,1780482048
497530,381063751,1780482048
310964,398170122,1780482048
733664,376944238,1780482048
753428,394593255,1780482048
565556,392685084,1780482048
155217,392708020,1780482048
1189458,380204030,1780482048
958603,388715850,1780482048
557263,379852120,1780482048
380255,401143389,1780482048
410196,372898892,1780482048
878191,374605545,1780482048
911812,412580438,1780482048
874995,356076797,1780482048
570803,390615604,1780482048
727643,369478086,1780482048
939161,430476406,1780482048
734043,369207356,1780482048
853392,368995448,1780482048
618900,366499760,1780482048
192757,381541077,1780482048
718816,392492573,1780482048
729538,392820183,1780482048
295630,368308738,1780482048
810082,380104762,1780482048
360433,372502312,1780482048
639538,374057944,1780482048
697808,393979578,1780482048
362159,358992216,1780482048
955319,379005046,1780482048
731062,419397821,1780482048
972396,360162086,1780482048
295047,402423953,1780482048
997109,388069230,1780482048
865589,404440702,1780482048
322621,387677256,1780482048
586196,404792114,1780482048
605286,386901553,1780482048
805102,352631349,1780482048
830064,384417381,1780482048
846508,383905676,1780482048
211777,411371421,1780482048
518709,363800164,1780482048
604013,368768790,1780482048
978174,394207809,1780482048
830399,377297766,1780482048
791030,397137289,1780482048
775973,383147844,1780482048
407342,379345222,1780482048
664107,388327874,1780482048
744682,385377504,1780482048
911711,379912767,1780482048
346343,386931511,1780482048
726209,381409418,1780482048
502326,380856320,1780482048
402148,418045369,1780482048
321973,366539727,1780482048
327070,414275472,1780482048
420734,382359543,1780482048
572367,373859423,1780482048
376221,414298477,1780482048
289489,353952907,1780482048
909180,377282566,1780482048
784530,401861974,1780482048
723609,399911202,1780482048
525760,358861653,1780482048
500571,374254873,1780482048
360872,383457921,1780482048
996135,420130505,1780482048
685808,342358974,1780482048
617596,371860044,1780482048
296335,414567050,1780482048
1005863,364483918,1780482048
839631,375558290,1780482048
506317,369675001,1780482048
882522,389687757,1780482048
324446,374834442,1780482048
683741,392603836,1780482048
157358,387473318,1780482048
496371,387446886,1780482048
838380,373592367,1780482048
763863,372866899,1780482048
418174,412427015,1780482048
658754,338872194,1780482048
902935,361705695,1780482048
845233,381006937,1780482048
752326,401459535,1780482048
1005369,362534198,1780482048
232747,414454756,1780482048
893182,360995379,1780482048
727273,402791094,1780482048
701495,382392068,1780482048
534761,396641047,1780482048
701922,392708476,1780482048
774050,364440145,1780482048
928543,399189471,1780482048
304736,386398515,1780482048
565018,400011954,1780482048
730118,387338790,1780482048
