setup_ns,run_ns
88448,2101085
86514,2103639
58822,2287730
245025,2081938
47179,2189313
2168323,1148263
88559,2108629
87787,2097559
80703,2103329
88268,2100624
72849,2109671
88548,2096566
89871,2112667
78670,2089453
295442,2024850
95091,2094242
82407,2117075
2184343,1085554
1164424,1053302
93377,2139708
85853,2127766
91433,2120262
86714,2111484
685804,1850218
215851,2038245
65084,2135741
96593,2108199
79882,2117376
85192,2100133
93739,2111324
78860,2110864
82197,2107807
83849,2094122
82938,2101806
89149,2090215
89881,2080706
85783,2144027
71767,2098249
64302,2130361
100501,2086718
93438,2083091
90653,2086827
86014,2095825
82768,2084212
84741,2099321
105771,2087709
73861,2115592
80623,2082910
86745,2084323
88297,2080726
99690,2085204
79090,2111174
94680,2087539
81465,2090134
80693,2098129
78900,2096867
78670,2093671
82798,2115041
75794,2108528
88749,2080956
89831,2091887
86836,2106375
89130,2098530
95823,2084613
109418,2087349
80012,2088001
86816,2089242
106332,2099572
63822,2143205
85372,2091828
90372,2099361
90923,2089413
71556,2088060
91785,2082549
85492,2085205
101363,2096225
90662,2099762
115820,2090755
78048,2090555
78349,2087599
100661,2092268
80943,2089051
78980,2256400
72148,2208939
85252,2100082
82617,2086618
104228,2081367
764153,1453614
56357,2122726
96513,2083711
90382,2088240
86024,2090274
86815,2091327
96323,2089022
78269,2092278
75714,2088811
92425,2094402
84180,2091226
88989,2091947
82377,2095724
88859,2094482
107565,2096466
84160,2083832
51237,2140530
80242,2093089
91624,2086207
75874,2088150
94339,2085856
