setup_ns,run_ns,peak_mem
54724,255901718,218365952
50145,256110345,218365952
48252,258304497,218365952
51127,256369387,218365952
52910,257480480,218365952
48392,256374386,218365952
49795,256462263,218365952
66136,256320754,218365952
49184,256419292,218365952
51488,258960373,218365952
44395,257942237,218365952
61436,256252013,218365952
47320,256267433,218365952
43012,256099383,218365952
46559,256113781,218365952
43393,255898742,218365952
43703,256150561,218365952
45246,256478685,218365952
47811,256192431,218365952
46799,256174065,218365952
44525,256368926,218365952
47710,258052678,218365952
44354,256076951,218365952
51117,256097520,218365952
44204,256757555,218365952
44695,256412088,218365952
45005,256254498,218365952
47551,256187240,218365952
45837,256082582,218365952
44805,256650692,218365952
46879,257720286,218365952
59243,256530884,218365952
46478,256610115,218365952
48512,256204884,218365952
46298,256130653,218365952
45948,256122588,218365952
43032,256522277,218365952
46018,256377792,218365952
45877,256216366,218365952
51789,256230132,218365952
50216,256255671,218365952
51127,256255551,218365952
45567,256259347,218365952
44224,256178344,218365952
45997,259899840,218365952
46078,259155805,218365952
47390,257154500,218365952
53471,256385688,218365952
46288,256465730,218365952
45106,256301468,218365952
46468,260094751,218365952
58702,256509072,218365952
45938,256169036,218365952
44455,256142064,218365952
43743,256248518,218365952
43623,259673629,218365952
43603,256234711,218365952
46649,256421185,218365952
48322,256205946,218365952
46538,256232126,218365952
45296,259440256,218365952
46579,257342738,218365952
44465,256315204,218365952
48512,256393733,218365952
48142,256166050,218365952
45988,256319682,218365952
45206,256203973,218365952
46098,259993778,218365952
51178,256400416,218365952
47059,256435844,218365952
45918,257638400,218365952
58321,255890747,218365952
44765,256128990,218365952
46599,256441915,218365952
123024,234591469,218365952
66416,228840003,218365952
71315,228927560,218365952
69562,229004275,218365952
67429,233374294,218365952
52980,228374247,218365952
57489,229064640,218365952
50886,228567645,218365952
50195,231809299,218365952
54524,230993427,218365952
48953,229542509,218365952
49724,229092804,218365952
52751,228535524,218365952
53051,228916629,218365952
53432,228934984,218365952
49274,228944722,218365952
50647,228921527,218365952
52489,233966621,218365952
51919,236239002,218365952
51468,230041097,218365952
50646,229273247,218365952
52780,231572539,218365952
55486,230341207,218365952
49674,228995358,218365952
49624,229036938,218365952
51598,228726928,218365952
54674,235115926,218365952
52489,228949261,218365952
49925,228793755,218365952
50015,231914409,218365952
51688,234089224,218365952
54704,229686853,218365952
52610,228969068,218365952
52079,229069118,218365952
49494,232219148,218365952
54313,232382559,218365952
54593,228521888,218365952
48723,228836506,218365952
50817,228829573,218365952
48702,233283622,218365952
50295,235174127,218365952
51267,230122852,218365952
49393,229303263,218365952
50506,232679604,218365952
49084,230917693,218365952
49714,228908834,218365952
47791,229492543,218365952
53762,230889691,218365952
52419,231043894,218365952
49424,229072184,218365952
50506,228802712,218365952
46959,228987865,218365952
51147,234272432,218365952
48863,232211323,218365952
50045,228711899,218365952
50366,229117431,218365952
58030,236990180,218365952
53402,229912602,218365952
51548,228871082,218365952
51037,229116729,218365952
49484,229191761,218365952
49685,236329052,218365952
63711,237387305,218365952
49735,234557394,218365952
47761,228727569,218365952
51909,233466950,218365952
49273,228966654,218365952
50216,228721357,218365952
49594,228952708,218365952
50015,232417355,218365952
47881,229468698,218365952
49704,229061845,218365952
55225,230558300,218365952
51728,231944226,218365952
52970,232519199,218365952
49925,229505358,218365952
51258,228645833,218365952
50306,229384839,218365952
52289,234845101,218365952
53252,228779628,218365952
47831,228861234,218365952
49504,228713302,218365952
52170,229165522,218365952
49914,228950063,218365952
52329,234499895,218365952
49885,235075990,218365952
46499,230935708,218365952
49865,234553597,218365952
48923,228991531,218365952
46649,228594726,218365952
51417,229222020,218365952
49935,229002712,218365952
52419,228847087,218365952
46228,229299848,218365952
46749,232171397,218365952
48272,232234006,218365952
50606,229830877,218365952
48773,228855352,218365952
49183,228840715,218365952
49965,233260949,218365952
51197,230196072,218365952
48683,228665070,218365952
46859,229412692,218365952
50305,232396325,218365952
48963,234638749,218365952
51477,229067717,218365952
47270,233909803,218365952
47380,233883333,218365952
48963,233060828,218365952
50015,230304928,218365952
46529,228762565,218365952
46449,228842317,218365952
47770,230011580,218365952
49013,232336972,218365952
48743,228623692,218365952
47260,232414770,218365952
46869,229492424,218365952
52299,233640390,218365952
48782,229109877,218365952
48151,228730866,218365952
50096,236612772,218365952
47931,231654605,218365952
50286,230079920,218365952
48642,229081882,218365952
47740,228775129,218365952
50166,229213493,218365952
48522,228771112,218365952
49113,230433744,218365952
46809,232304220,218365952
48072,234313720,218365952
49183,234547315,218365952
48612,229017280,218365952
46368,228754490,218365952
49303,234810706,218365952
55906,234754700,218365952
48492,229896853,218365952
49544,229366595,218365952
47730,228891752,218365952
50115,229018842,218365952
49464,232854837,218365952
49233,228613362,218365952
47621,228712099,218365952
48432,228614935,218365952
47520,234091969,218365952
48782,230696734,218365952
47360,228631977,218365952
48673,229525075,218365952
49704,231407184,218365952
49995,230540686,218365952
53492,228831286,218365952
49715,231278750,218365952
51689,235677313,218365952
50827,229134012,218365952
48933,228474188,218365952
48763,228869819,218365952
49084,228780870,218365952
50676,229026057,218365952
48312,229100498,218365952
46418,229161234,218365952
47991,229485922,218365952
48502,229049190,218365952
52519,228621387,218365952
48462,229204787,218365952
49224,229146916,218365952
47521,231810851,218365952
49294,233269926,218365952
48853,228550302,218365952
48973,228896430,218365952
49855,229241326,218365952
52119,233106135,218365952
48762,230315038,218365952
50796,229037950,218365952
47500,232099491,218365952
49554,238556799,218365952
48543,232176567,218365952
48913,228923171,218365952
50035,229395329,218365952
48432,228803344,218365952
