setup_ns,run_ns
1073131,19827895
507515,20067290
2718008,19996145
1143484,19204459
1007967,23209264
949897,25315770
7876628,16753959
843584,21625313
908768,21140892
1031361,23160822
1225831,19860327
1078380,20906366
1163202,21480958
582298,19723957
492046,20122264
1099440,20464595
1148634,19714750
812004,21940091
1003197,21113339
888309,21052203
1269444,19972219
1025070,19480233
508046,21431835
962711,23249831
1091014,22287272
941019,20498290
756569,22687874
647471,22679778
1254776,20698701
921933,21405755
807375,23707562
5560043,17228842
864404,21895536
895032,22809414
646840,23782775
1148935,22848038
548273,21454508
963172,20306796
1062009,22215535
585192,23425956
1825832,20763373
880515,21080927
2463605,20635691
719518,21062834
719769,22594535
725660,23470261
1147753,21604072
2944269,17842078
777519,23147367
456348,21483963
436751,21779486
870886,23636017
582588,22809445
1127053,20465827
1149947,19987939
755537,21434370
514478,22460110
853293,21380297
2009953,20000382
675344,21347925
849416,21603422
1169994,19046659
1105132,19339075
931592,18909438
805191,21677853
801794,19995073
255696,20781818
908017,21566390
762880,20450168
932483,20099031
526121,20582259
692216,20828267
4899166,16079026
1058603,20023987
726472,21365799
7368653,16090408
6802426,15594975
625379,19276045
1107296,20703680
665515,20406545
717925,22969499
1275816,20621484
1052591,22621638
695732,22956844
827152,23558649
950938,20276227
1560367,20630271
993269,21700897
990904,22221136
912515,21324551
1142493,21786960
670355,21118790
1027754,22020825
1100503,20947875
4687294,17343390
740528,20765107
832623,20926654
788519,20492258
1111073,20366329
931652,21084374
898489,21024170
853443,21359678
851068,19834367
1194031,20697939
2187139,20423718
529727,21809493
1050769,20689473
262790,21635462
920270,21347384
809028,20707307
