setup_ns,run_ns
98787,13261245
117702,13251664
88363,13264480
99218,13263756
160038,13250052
84953,13261254
101581,13242288
96177,13244793
107147,13240641
104350,13265107
84688,13268789
102684,13239433
86911,13241205
100127,13271164
87240,13260801
86068,13272813
80648,13274199
87315,13252619
90825,13261647
57523,13264303
84691,13263513
94796,13261497
96493,13256285
87795,13242770
85196,13239837
89792,13259495
97031,13264225
90010,13246774
94492,13262590
90030,13254609
96574,13252965
88410,13269024
77808,13248010
92113,13244455
106624,13262910
74693,13272553
92727,13259425
96054,13246222
98226,13252496
99239,13234302
83348,13256441
99732,13257342
87512,13263188
111208,13265347
95017,13261505
86167,13272570
113005,13266009
76613,13260918
99558,13260642
108020,13244279
93265,13267110
78834,13252625
114434,13253606
98297,13237967
103917,13256130
101574,13253268
90425,13258511
75216,13268259
91758,13245118
80496,13263086
83437,13264878
103687,13261277
98429,13269154
94837,13248682
96538,13249523
75331,13291961
96936,13275082
95687,13245527
94150,13248120
103211,13263628
104800,13242334
110127,13259971
81976,13248119
73195,13247127
88258,13263210
90266,13254818
92838,13243156
102061,13252872
96444,13242366
97071,13242597
94120,13266685
62248,13261109
77961,13263333
68063,13262154
93470,13261321
59495,13266866
89083,13261431
68930,13270072
87039,13250535
76147,13266299
91548,13265434
94443,13249391
