setup_ns,run_ns
227413,1164183
178189,1211003
200682,1209389
132623,1220169
189370,1175825
166226,1291034
141699,1207306
201673,1208207
167288,1228186
189470,1188410
314037,1149586
201633,1175746
166847,1372169
212153,1191275
191234,1204260
175884,1382258
245277,1164023
167108,1187468
251518,1159735
184741,1185344
167319,1199901
263381,1136380
248632,1142362
213125,1179813
211221,1174432
207334,1179072
215610,1303318
195431,1181517
225529,1245568
209909,1175024
229847,1161318
142330,1331762
215670,1246360
144395,1214910
202054,1273111
195502,1189922
212554,1208328
170825,1380384
225759,1100542
226320,1162911
368170,1173181
117954,1200423
165755,1181316
210360,954595
165124,789101
231450,822423
164542,797316
398057,770054
203286,757470
205060,759714
135798,990684
122693,1001274
202626,1193669
231570,1113287
170424,1130219
229757,1163081
198788,1203348
207956,1198689
218265,1197046
214638,1202877
205290,1317736
196895,1176577
189320,1168241
228204,1155828
187927,1190594
182958,1200272
222283,1180063
212664,1186055
193208,1196795
180774,1197356
280834,1170115
247881,1200102
196113,1166588
211763,1150647
199730,1170976
212013,1139757
217223,1253283
191484,1177568
201403,1197477
218556,1176577
202445,1173922
187797,1302607
192697,1187087
202765,1182188
204970,1180775
229867,1165356
223625,1162260
222313,1194761
180814,791715
179060,950698
216742,928406
143923,840378
199470,828996
210200,755937
180373,860085
265044,850968
154023,885353
109197,878090
217112,740038
225739,745968
187076,867008
171666,790884
173840,868572
202615,1169935
195952,1193930
146548,1263492
217694,1165395
178539,1196225
189269,1218818
201293,1214128
190653,1136681
214337,1156148
218355,1174603
