setup_ns,run_ns
21060,6713653
20990,6634863
21711,6626688
21191,6974338
20970,6626818
20910,6636426
22032,6623722
20789,6623642
20819,6622429
20700,6625295
21951,6605979
21260,6617801
21000,6805027
20910,6614966
20669,6606059
21050,6606830
20689,6665953
22653,6620366
20869,6617591
20960,6622880
20819,6629453
24787,6603584
21731,6602171
20769,6580861
20759,6598304
21661,6593936
21190,6581472
20870,6588024
20800,6632889
20609,6586652
20659,6583766
20589,6583115
20539,6592754
21911,6585760
20800,6585750
21070,6599125
21961,6582494
20689,6773417
20750,6583646
20619,6665542
23916,6593474
21390,6580781
21110,6585630
20840,6773807
20690,6585259
20729,6586291
20539,6584167
20689,6593445
21601,6587153
20929,6584017
20970,6592913
21802,6606349
20960,6584097
20629,6583115
20589,6591741
21220,6599536
22222,6505658
29997,6417750
27994,6148689
19998,5995508
19747,5825154
18074,5731866
18155,5775399
23855,6108263
21280,5909284
19778,6047577
19447,6195008
22232,6053067
19306,6028200
19487,6016298
19557,6000547
19016,6013292
21080,5992843
19527,7634354
27853,6839062
21080,6138439
19608,6130374
20128,6028561
19037,6039852
20188,6007150
18996,5982904
19447,5992262
19277,6127248
19778,6117880
20438,6093023
19137,6072915
19047,6063306
19056,6068437
20489,6241155
20058,6027028
19868,6016989
18915,6007540
