setup_ns,run_ns
155042,224265521
148030,224615056
149468,224898525
148607,224552719
152569,224443866
148825,224619385
148956,224759397
147528,224570657
147608,224681259
164495,224991859
150228,224555358
154435,224254107
148438,224497792
154134,224997532
149308,224287521
148947,224670516
148330,224934554
146116,226115570
175981,224569129
161469,225058063
157930,224364603
152614,224841482
152984,224986703
151326,224900599
148745,224581803
151156,224719510
148735,224625285
151480,224685642
147989,224909731
151063,224819494
148389,224542941
152111,224859296
149024,224866830
150987,224775804
150144,224073004
148782,224885986
149964,224420426
155885,224718367
157881,224643195
149495,224863777
150404,224636816
150237,224726555
149713,224451903
146400,224939707
145480,224443367
155745,225057288
147462,224306067
148793,224987373
146719,224761569
149671,225067405
151891,224442982
147160,224969215
147947,224338038
151649,224785332
148245,224228855
149079,224884925
148675,224373787
148622,224977230
150115,224752830
148153,225189146
161803,224459049
152875,224848473
149278,224270118
157695,224981590
147225,224616340
156339,224963627
152033,225172094
151184,225053803
149257,224899427
149614,225229422
147378,225101195
147494,224723178
145878,224799884
146514,224692038
148006,224789008
148627,224776587
148341,224807003
153259,224725954
150179,224579639
147733,224704513
148397,224358674
146984,224702252
147234,224614199
146902,224756153
146738,224710149
149090,224843297
147594,224618503
146078,224726874
147057,224872221
147173,224466390
146589,224695487
151838,224501821
148706,224596954
147215,224707192
147350,224995951
147416,224665571
147729,224791073
147923,224800189
145773,224485643
148688,225104836
148897,224701974
147717,224775378
147692,224982020
149526,224644341
150218,224595571
151074,224940192
