setup_ns,run_ns
60353,54478216
61181,54420277
59908,54356156
59678,54357605
59610,54443767
59237,54278971
59693,54431291
59103,54465666
60315,54322916
61189,54261892
60080,54465485
59515,54379745
59547,54418671
59155,54412298
59028,54463672
58939,54324836
58763,54378119
59184,54251809
59074,54491087
59783,54380747
66421,54397511
58946,54317792
59066,54432427
58870,54265910
58682,54335562
58806,54185597
58743,54492897
58716,54400609
60876,54312308
61280,54355244
59829,54415719
58955,54340503
59009,54493301
59207,54283395
59846,54456616
59026,54253030
58716,54224349
58721,54360916
58717,54285744
61029,54389125
58550,54218061
58819,54250288
58516,54409537
59421,54325899
59272,54263375
58906,54376895
58621,54318174
58522,54300152
58905,54217374
59336,54351925
58801,54187799
58725,54395217
58505,54368348
58595,54312508
58582,54359811
58468,54320562
58801,54238078
58612,54328357
58399,54148365
58704,54410164
60531,54355123
58628,54238921
58560,54318721
58629,54361920
58564,54358547
62467,54382084
59088,54254259
59161,54404904
58820,54285868
58435,54291487
60680,54202918
58794,54504458
58773,54335085
58572,54219000
58762,54274593
58466,54265861
58613,54276131
58686,54276667
58736,54263771
58671,54403676
58536,54275526
58526,54358958
59514,54298592
58873,54345401
58468,54310586
58512,54337266
58495,54265706
58555,54214606
58288,54392714
58316,54307723
58495,54402125
58416,54361964
58588,54362585
58402,54380619
58444,54209791
58547,54378250
58336,54165099
58344,54438660
58365,54297266
58465,54438001
58308,54266678
59167,54339676
60145,54243471
59264,54353367
58557,54296366
58479,54399676
58559,54255460
